Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,B1,B2,B3,B4,B5,A11,A12
0:00:06,3841,3801,3723,3832,4830,4863,4639,4767,6694,6760,2981,2750,2818,2879,2922,6429,6565
0:10:06,3213,3343,3325,3413,4127,4154,4203,4275,5790,5639,2774,2529,2555,2664,2649,5497,5506
0:20:06,3200,3286,3250,3361,4045,4111,4153,4184,5654,5522,2743,2496,2473,2607,2600,5380,5338
0:30:06,3520,3302,3257,3365,4060,4102,4144,4135,5633,5586,2751,2492,2515,2574,2599,5450,5849
0:40:06,3469,3380,3260,3496,4064,4210,4122,4075,5696,5526,2852,2532,2924,2624,2617,5373,5810
0:50:06,3456,3360,3361,3480,4036,4207,4118,4016,5833,5741,2852,2604,2864,2637,2608,5531,5999
1:00:06,3435,3346,3330,3494,4051,4219,4268,4516,5840,5721,2848,2593,2817,2766,2633,5570,5894
1:10:06,3446,3368,3326,3466,4073,4210,4239,4644,5832,5812,2830,2580,2822,2727,2613,5578,5915
1:20:06,3436,3357,3344,3466,4077,4204,4224,4709,5862,5800,2839,2589,2807,2692,2618,5621,5943
1:30:06,3416,3366,3319,3483,4105,4179,4179,4610,5899,5816,2824,2555,2791,2723,2665,5649,5976
1:40:06,3431,3354,3318,3462,4128,4171,4202,4561,5898,5851,2820,2580,2796,2723,2667,5681,6042
1:50:06,3436,3348,3300,3456,4124,4197,4194,4512,5914,5927,2825,2586,2788,2707,2657,5696,6042
2:00:06,3418,3350,3304,3453,4114,4190,4201,4510,5957,5882,2817,2559,2766,2706,2663,5719,6069
2:10:06,3406,3339,3302,3451,4103,4181,4214,4505,5974,5899,2814,2556,2793,2692,2666,5723,6084
2:20:06,3394,3325,3295,3455,4129,4207,4225,4513,5987,5927,2821,2559,2785,2704,2649,5740,6155
2:30:06,3393,3341,3291,3451,4128,4206,4242,4475,6016,5998,2809,2583,2775,2696,2680,5780,6193
2:40:06,3381,3334,3274,3448,4135,4206,4250,4498,6004,6080,2821,2575,2791,2687,2662,5793,6215
2:50:06,3397,3342,3291,3460,4153,4232,4273,4503,6023,6056,2821,2582,2769,2698,2665,5845,6250
3:00:06,3387,3331,3295,3487,4145,4247,4268,4503,6072,6072,2809,2585,2782,2701,2667,5811,6253
3:10:06,3394,3339,3313,3506,4140,4220,4274,4502,6091,6197,2811,2574,2783,2692,2657,5883,6358
3:20:06,3400,3339,3287,3488,4164,4250,4311,4497,6097,6187,2820,2575,2782,2693,2664,5892,6342
3:30:06,3395,3341,3291,3500,4182,4265,4327,4491,6128,6216,2806,2582,2773,2694,2665,5913,6412
3:40:06,3398,3344,3280,3530,4169,4296,4343,4503,6140,6148,2798,2576,2777,2694,2663,5951,6454
3:50:06,3394,3358,3311,3548,4175,4291,4378,4537,6169,6266,2805,2578,2784,2675,2670,5942,6519
4:00:06,3406,3352,3314,3601,4192,4328,4405,4547,6142,6254,2825,2575,2782,2694,2666,6000,6549
4:10:06,3419,3364,3304,3630,4186,4348,4435,4555,6166,6278,2815,2577,2794,2705,2678,6028,6599
