Time	1 PrLDf...100
0	3547
0.16667	3275
0.33333	3305
0.5	3634
0.66667	3691
0.83333	3762
1	3663
1.16667	3547
1.33333	3441
1.5	3389
1.66667	3364
1.83333	3353
2	3336
2.16667	3334
2.33333	3332
2.5	3309
2.66667	3311
2.83333	3307
3	3294
3.16667	3289
3.33333	3303
3.5	3309
3.66667	3298
3.83333	3292
4	3285
4.16667	3290
4.33333	3291
4.5	3289
4.66667	3299
4.83333	3294
5	3264
5.16667	3272
5.33333	3275
5.5	3260
5.66667	3266
5.83333	3277
6	3259
6.16667	3260
6.33333	3257
6.5	3290
6.66667	3264
6.83333	3255
7	3259
7.16667	3261
7.33333	3278
7.5	3253
7.66667	3266
7.83333	3263
8	3245
8.16667	3254
8.33333	3250
8.5	3238
8.66667	3238
8.83333	3251
9	3234
9.16667	3244
9.33333	3218
9.5	3229
9.66667	3210
9.83333	3219
10	3226
10.16667	3223
10.33333	3210
10.5	3231
10.66667	3197
10.83333	3198
11	3200
11.16667	3198
11.33333	3204
11.5	3195
11.66667	3211
11.83333	3194
12	3184
12.16667	3204
12.33333	3210
12.5	3214
12.66667	3201
12.83333	3198
13	3199
13.16667	3187
13.33333	3188
13.5	3187
13.66667	3181
13.83333	3187
14	3169
14.16667	3176
14.33333	3178
14.5	3190
14.66667	3174
14.83333	3169
15	3181
15.16667	3169
15.33333	3173
15.5	3183
15.66667	3180
15.83333	3154
16	3169
16.16667	3174
16.33333	3169
16.5	3176
16.66667	3185
16.83333	3153
17	3164
17.16667	3172
17.33333	3165
17.5	3155
17.66667	3157
17.83333	3160
18	3159
18.16667	3161
18.33333	3155
18.5	3169
18.66667	3176
18.83333	3161
19	3165
19.16667	3147
19.33333	3168
19.5	3153
19.66667	3162
19.83333	3157
20	3168
20.16667	3131
20.33333	3165
20.5	3168
20.66667	3144
20.83333	3148
21	3151
21.16667	3165
21.33333	3154
21.5	3161
21.66667	3149
21.83333	3156
22	3146
22.16667	3142
22.33333	3174
22.5	3148
22.66667	3146
22.83333	3151
23	3137
23.16667	3152
23.33333	3155
23.5	3148
23.66667	3157
23.83333	3180
24	3156
