Time	0.1 PrLDf: 25 PrLDm...16
0	3245
0.16667	3175
0.33333	3395
0.5	3684
0.66667	3914
0.83333	4130
1	4328
1.16667	4510
1.33333	4670
1.5	4860
1.66667	5018
1.83333	5169
2	5324
2.16667	5437
2.33333	5584
2.5	5698
2.66667	5832
2.83333	5944
3	6049
3.16667	6157
3.33333	6306
3.5	6348
3.66667	6489
3.83333	6574
4	6694
4.16667	6806
4.33333	6915
4.5	6994
4.66667	7145
4.83333	7258
5	7337
5.16667	7436
5.33333	7539
5.5	7647
5.66667	7700
5.83333	7809
6	7909
6.16667	8018
6.33333	8095
6.5	8239
6.66667	8322
6.83333	8422
7	8541
7.16667	8664
7.33333	8794
7.5	8873
7.66667	9001
7.83333	9110
8	9212
8.16667	9304
8.33333	9450
8.5	9545
8.66667	9674
8.83333	9776
9	9909
9.16667	10049
9.33333	10160
9.5	10730
9.66667	10950
9.83333	11095
10	11212
10.16667	11339
10.33333	11532
10.5	11695
10.66667	11873
10.83333	12107
11	12377
11.16667	12483
11.33333	12757
11.5	13017
11.66667	13369
11.83333	13431
12	13815
12.16667	14137
12.33333	14506
12.5	14730
12.66667	15154
12.83333	15395
13	15818
13.16667	16282
13.33333	16498
13.5	17017
13.66667	17374
13.83333	17620
14	18237
14.16667	18545
14.33333	19217
14.5	19467
14.66667	20209
14.83333	20242
15	20975
15.16667	21341
15.33333	22085
15.5	22627
15.66667	22869
15.83333	23555
16	23831
16.16667	24373
16.33333	25208
16.5	25244
16.66667	26456
16.83333	25538
17	27287
17.16667	26846
17.33333	27274
17.5	27658
17.66667	28391
17.83333	28761
18	28533
18.16667	29465
18.33333	29488
18.5	29470
18.66667	29660
18.83333	30113
19	30629
19.16667	30453
19.33333	30695
19.5	30855
19.66667	31098
19.83333	31551
20	31647
20.16667	31587
20.33333	31866
20.5	32148
20.66667	32273
20.83333	32248
21	32796
21.16667	32725
21.33333	32905
21.5	32958
21.66667	33254
21.83333	33557
22	33537
22.16667	33667
22.33333	33492
22.5	33549
22.66667	33615
22.83333	33825
23	34142
23.16667	34251
23.33333	34277
23.5	34402
23.66667	34602
23.83333	34658
24	34874
