Time	2 PrLDf: 20 PrLDm...56
0	4886
0.16667	5515
0.33333	7033
0.5	8705
0.66667	10562
0.83333	12023
1	13261
1.16667	14536
1.33333	15590
1.5	16586
1.66667	17478
1.83333	18227
2	18931
2.16667	19624
2.33333	20092
2.5	20617
2.66667	21105
2.83333	21492
3	21801
3.16667	22128
3.33333	22446
3.5	22639
3.66667	22817
3.83333	23088
4	23132
4.16667	23318
4.33333	23419
4.5	23649
4.66667	23730
4.83333	23922
5	23891
5.16667	23979
5.33333	24103
5.5	24253
5.66667	24245
5.83333	24340
6	24378
6.16667	24422
6.33333	24392
6.5	24473
6.66667	24630
6.83333	24631
7	24591
7.16667	24671
7.33333	24736
7.5	24642
7.66667	24731
7.83333	24793
8	24899
8.16667	24831
8.33333	24888
8.5	24969
8.66667	24922
8.83333	25044
9	25006
9.16667	25022
9.33333	25011
9.5	25088
9.66667	25123
9.83333	25058
10	25130
10.16667	25280
10.33333	25333
10.5	25294
10.66667	25277
10.83333	25340
11	25248
11.16667	25228
11.33333	25278
11.5	25372
11.66667	25450
11.83333	25482
12	25576
12.16667	25634
12.33333	25446
12.5	25413
12.66667	25420
12.83333	25499
13	25570
13.16667	25605
13.33333	25612
13.5	25664
13.66667	25671
13.83333	25716
14	25612
14.16667	25572
14.33333	25657
14.5	25649
14.66667	25640
14.83333	25832
15	25729
15.16667	25762
15.33333	25795
15.5	25763
15.66667	25747
15.83333	25720
16	25679
16.16667	25738
16.33333	25839
16.5	25800
16.66667	25871
16.83333	25835
17	25916
17.16667	25871
17.33333	25865
17.5	25778
17.66667	25671
17.83333	25854
18	25934
18.16667	25889
18.33333	25930
18.5	25941
18.66667	25877
18.83333	25886
19	25921
19.16667	25900
19.33333	26010
19.5	26121
19.66667	26243
19.83333	25796
20	25732
20.16667	26033
20.33333	26138
20.5	26234
20.66667	25984
20.83333	25776
21	25979
21.16667	26062
21.33333	25977
21.5	26114
21.66667	26311
21.83333	26266
22	25932
22.16667	26097
22.33333	26020
22.5	25972
22.66667	26116
22.83333	26141
23	26103
23.16667	26193
23.33333	26283
23.5	26214
23.66667	26098
23.83333	26096
24	26127
