Time	20 PrLDm...87
0	3474
0.16667	3049
0.33333	3125
0.5	3137
0.66667	3065
0.83333	3028
1	3044
1.16667	3033
1.33333	3043
1.5	3020
1.66667	3027
1.83333	3015
2	3086
2.16667	3066
2.33333	3068
2.5	3050
2.66667	3051
2.83333	3028
3	3056
3.16667	3040
3.33333	3038
3.5	3033
3.66667	3025
3.83333	3032
4	3024
4.16667	3040
4.33333	3024
4.5	3018
4.66667	3019
4.83333	3030
5	3013
5.16667	3019
5.33333	3162
5.5	3111
5.66667	3127
5.83333	3121
6	3108
6.16667	3066
6.33333	3079
6.5	3097
6.66667	3210
6.83333	3202
7	3239
7.16667	3253
7.33333	3235
7.5	3227
7.66667	3253
7.83333	3249
8	3253
8.16667	3285
8.33333	3285
8.5	3286
8.66667	3288
8.83333	3294
9	3304
9.16667	3325
9.33333	3323
9.5	3336
9.66667	3340
9.83333	3349
10	3356
10.16667	3347
10.33333	3368
10.5	3395
10.66667	3415
10.83333	3430
11	3440
11.16667	3440
11.33333	3465
11.5	3480
11.66667	3472
11.83333	3464
12	3475
12.16667	3471
12.33333	3474
12.5	3503
12.66667	3467
12.83333	3481
13	3490
13.16667	3490
13.33333	3501
13.5	3511
13.66667	3505
13.83333	3516
14	3520
14.16667	3532
14.33333	3545
14.5	3538
14.66667	3556
14.83333	3573
15	3586
15.16667	3598
15.33333	3584
15.5	3610
15.66667	3632
15.83333	3646
16	3665
16.16667	3682
16.33333	3704
16.5	3728
16.66667	3760
16.83333	3776
17	3799
17.16667	3854
17.33333	3909
17.5	3968
17.66667	3991
17.83333	4053
18	4088
18.16667	4176
18.33333	4251
18.5	4381
18.66667	4462
18.83333	4582
19	4655
19.16667	4782
19.33333	4881
19.5	4982
19.66667	5155
19.83333	5318
20	5445
20.16667	5665
20.33333	5824
20.5	6079
20.66667	6358
20.83333	6608
21	6862
21.16667	7229
21.33333	7657
21.5	8064
21.66667	8518
21.83333	9062
22	9627
22.16667	10230
22.33333	10830
22.5	11678
22.66667	12319
22.83333	13152
23	13952
23.16667	14801
23.33333	15647
23.5	16601
23.66667	17347
23.83333	18211
24	19272
