Time	0.5 PrLDf...97
0	3286
0.16667	3025
0.33333	2973
0.5	3243
0.66667	3257
0.83333	3271
1	3283
1.16667	3312
1.33333	3303
1.5	3345
1.66667	3372
1.83333	3375
2	3384
2.16667	3379
2.33333	3356
2.5	3337
2.66667	3301
2.83333	3281
3	3224
3.16667	3223
3.33333	3193
3.5	3148
3.66667	3163
3.83333	3181
4	3151
4.16667	3124
4.33333	3138
4.5	3102
4.66667	3094
4.83333	3125
5	3079
5.16667	3075
5.33333	3060
5.5	3063
5.66667	3050
5.83333	3032
6	3013
6.16667	3008
6.33333	3010
6.5	3008
6.66667	3016
6.83333	2998
7	3006
7.16667	2986
7.33333	3005
7.5	2998
7.66667	2982
7.83333	2992
8	2983
8.16667	2973
8.33333	2963
8.5	2987
8.66667	2963
8.83333	2949
9	2965
9.16667	2957
9.33333	2961
9.5	2980
9.66667	2953
9.83333	2932
10	2931
10.16667	2942
10.33333	2940
10.5	2914
10.66667	2912
10.83333	2906
11	2916
11.16667	2928
11.33333	2908
11.5	2900
11.66667	2920
11.83333	2901
12	2926
12.16667	2883
12.33333	2897
12.5	2897
12.66667	2889
12.83333	2912
13	2902
13.16667	2885
13.33333	2875
13.5	2892
13.66667	2889
13.83333	2874
14	2891
14.16667	2881
14.33333	2886
14.5	2888
14.66667	2868
14.83333	2883
15	2873
15.16667	2872
15.33333	2862
15.5	2845
15.66667	2871
15.83333	2870
16	2909
16.16667	2910
16.33333	2919
16.5	2906
16.66667	2891
16.83333	2905
17	2897
17.16667	2890
17.33333	2900
17.5	2894
17.66667	2893
17.83333	2901
18	2885
18.16667	2912
18.33333	2919
18.5	2904
18.66667	2893
18.83333	2898
19	2901
19.16667	2890
19.33333	2880
19.5	2875
19.66667	2892
19.83333	2865
20	2867
20.16667	2869
20.33333	2856
20.5	2855
20.66667	2866
20.83333	2859
21	2855
21.16667	2835
21.33333	2861
21.5	2825
21.66667	2838
21.83333	2836
22	2839
22.16667	2831
22.33333	2811
22.5	2832
22.66667	2816
22.83333	2822
23	2829
23.16667	2840
23.33333	2829
23.5	2831
23.66667	2825
23.83333	2825
24	2836
