Time	2 PrLDf...101
0	3961
0.16667	3491
0.33333	3295
0.5	3443
0.66667	3404
0.83333	3408
1	3368
1.16667	3370
1.33333	3362
1.5	3353
1.66667	3340
1.83333	3355
2	3351
2.16667	3344
2.33333	3365
2.5	3359
2.66667	3349
2.83333	3348
3	3373
3.16667	3365
3.33333	3362
3.5	3350
3.66667	3357
3.83333	3348
4	3360
4.16667	3363
4.33333	3353
4.5	3352
4.66667	3367
4.83333	3354
5	3338
5.16667	3358
5.33333	3367
5.5	3340
5.66667	3355
5.83333	3334
6	3348
6.16667	3351
6.33333	3344
6.5	3342
6.66667	3352
6.83333	3345
7	3343
7.16667	3314
7.33333	3347
7.5	3328
7.66667	3341
7.83333	3329
8	3326
8.16667	3323
8.33333	3309
8.5	3325
8.66667	3328
8.83333	3326
9	3334
9.16667	3327
9.33333	3318
9.5	3303
9.66667	3298
9.83333	3304
10	3305
10.16667	3310
10.33333	3299
10.5	3295
10.66667	3299
10.83333	3300
11	3295
11.16667	3298
11.33333	3297
11.5	3284
11.66667	3314
11.83333	3291
12	3295
12.16667	3287
12.33333	3290
12.5	3294
12.66667	3308
12.83333	3287
13	3277
13.16667	3290
13.33333	3312
13.5	3282
13.66667	3286
13.83333	3303
14	3274
14.16667	3291
14.33333	3279
14.5	3286
14.66667	3277
14.83333	3268
15	3288
15.16667	3278
15.33333	3271
15.5	3275
15.66667	3278
15.83333	3277
16	3264
16.16667	3268
16.33333	3262
16.5	3257
16.66667	3255
16.83333	3277
17	3245
17.16667	3270
17.33333	3263
17.5	3251
17.66667	3249
17.83333	3252
18	3247
18.16667	3262
18.33333	3250
18.5	3232
18.66667	3251
18.83333	3266
19	3249
19.16667	3244
19.33333	3249
19.5	3239
19.66667	3241
19.83333	3239
20	3236
20.16667	3242
20.33333	3226
20.5	3234
20.66667	3241
20.83333	3231
21	3250
21.16667	3213
21.33333	3223
21.5	3232
21.66667	3235
21.83333	3232
22	3235
22.16667	3235
22.33333	3213
22.5	3231
22.66667	3235
22.83333	3226
23	3222
23.16667	3240
23.33333	3236
23.5	3259
23.66667	3231
23.83333	3237
24	3227
