Time	0.5 PrLDf: 20 PrLDm...26
0	3507
0.16667	3453
0.33333	4165
0.5	4483
0.66667	4842
0.83333	5214
1	5546
1.16667	5899
1.33333	6167
1.5	6485
1.66667	6766
1.83333	7073
2	7397
2.16667	7632
2.33333	7935
2.5	8211
2.66667	8440
2.83333	8719
3	9029
3.16667	9285
3.33333	9573
3.5	9819
3.66667	10043
3.83333	10346
4	10568
4.16667	10819
4.33333	11098
4.5	11302
4.66667	11580
4.83333	11837
5	12010
5.16667	12179
5.33333	12373
5.5	12684
5.66667	12863
5.83333	13000
6	13279
6.16667	13518
6.33333	13731
6.5	13958
6.66667	14156
6.83333	14289
7	14513
7.16667	14694
7.33333	14990
7.5	15184
7.66667	15501
7.83333	15579
8	15825
8.16667	15997
8.33333	16281
8.5	16506
8.66667	16880
8.83333	17138
9	17467
9.16667	17637
9.33333	17830
9.5	18324
9.66667	18584
9.83333	18758
10	19021
10.16667	19228
10.33333	19583
10.5	19865
10.66667	20225
10.83333	20280
11	20626
11.16667	20729
11.33333	21082
11.5	21187
11.66667	21556
11.83333	21630
12	21677
12.16667	21902
12.33333	22219
12.5	22372
12.66667	22364
12.83333	22370
13	22599
13.16667	22585
13.33333	22694
13.5	22921
13.66667	22802
13.83333	22909
14	22933
14.16667	23157
14.33333	23101
14.5	23127
14.66667	23106
14.83333	23181
15	23187
15.16667	23274
15.33333	23253
15.5	23181
15.66667	23239
15.83333	23276
16	23261
16.16667	23323
16.33333	23193
16.5	23360
16.66667	23346
16.83333	23244
17	23224
17.16667	23229
17.33333	23267
17.5	23319
17.66667	23205
17.83333	23292
18	23230
18.16667	23461
18.33333	23233
18.5	23172
18.66667	23397
18.83333	23378
19	23291
19.16667	23300
19.33333	23293
19.5	23280
19.66667	23294
19.83333	23267
20	23379
20.16667	23191
20.33333	23373
20.5	23241
20.66667	23286
20.83333	23496
21	23265
21.16667	23288
21.33333	23393
21.5	23202
21.66667	23362
21.83333	23454
22	23209
22.16667	23257
22.33333	23145
22.5	23371
22.66667	23333
22.83333	23091
23	23274
23.16667	23278
23.33333	23281
23.5	23303
23.66667	23266
23.83333	23336
24	23198
