Time	1 PrLDf: 15 PrLDm...40
0	5594
0.16667	6254
0.33333	9201
0.5	12420
0.66667	15237
0.83333	17601
1	19573
1.16667	21142
1.33333	22347
1.5	23196
1.66667	23770
1.83333	24157
2	24407
2.16667	24636
2.33333	24804
2.5	24969
2.66667	25126
2.83333	25217
3	25495
3.16667	25629
3.33333	25591
3.5	25463
3.66667	25624
3.83333	25807
4	25945
4.16667	25611
4.33333	25412
4.5	25403
4.66667	25640
4.83333	25903
5	26120
5.16667	26152
5.33333	26185
5.5	26425
5.66667	26519
5.83333	26301
6	25996
6.16667	25559
6.33333	25322
6.5	25221
6.66667	25253
6.83333	25662
7	26167
7.16667	26463
7.33333	26563
7.5	26604
7.66667	26693
7.83333	26904
8	26937
8.16667	26640
8.33333	26120
8.5	25651
8.66667	25513
8.83333	25433
9	25545
9.16667	25903
9.33333	26388
9.5	26764
9.66667	26896
9.83333	26852
10	26909
10.16667	27018
10.33333	26849
10.5	26359
10.66667	25743
10.83333	25323
11	25283
11.16667	25461
11.33333	25753
11.5	26210
11.66667	26808
11.83333	27272
12	27352
12.16667	27206
12.33333	27081
12.5	27085
12.66667	26952
12.83333	26366
13	25762
13.16667	25381
13.33333	25445
13.5	25543
13.66667	25801
13.83333	26334
14	26971
14.16667	27418
14.33333	27522
14.5	27379
14.66667	27245
14.83333	27242
15	26999
15.16667	26355
15.33333	25719
15.5	25538
15.66667	25580
15.83333	25703
16	25965
16.16667	26605
16.33333	27259
16.5	27639
16.66667	27580
16.83333	27456
17	27331
17.16667	27317
17.33333	26935
17.5	26233
17.66667	25718
17.83333	25605
18	25568
18.16667	25762
18.33333	26061
18.5	26825
18.66667	27383
18.83333	27731
19	27624
19.16667	27528
19.33333	27419
19.5	27354
19.66667	26967
19.83333	26307
20	25763
20.16667	25709
20.33333	25655
20.5	25892
20.66667	26364
20.83333	27139
21	27687
21.16667	27786
21.33333	27641
21.5	27531
21.66667	27530
21.83333	27211
22	26471
22.16667	25998
22.33333	25697
22.5	25756
22.66667	25885
22.83333	26354
23	27053
23.16667	27690
23.33333	27930
23.5	27815
23.66667	27673
23.83333	27678
24	27388
