Time	5 PrLDm...79
0	2892
0.16667	2686
0.33333	2756
0.5	2729
0.66667	2705
0.83333	2699
1	2718
1.16667	2705
1.33333	2707
1.5	2714
1.66667	2695
1.83333	2702
2	2712
2.16667	2708
2.33333	2718
2.5	2705
2.66667	2702
2.83333	2690
3	2678
3.16667	2685
3.33333	2696
3.5	2679
3.66667	2686
3.83333	2688
4	2679
4.16667	2692
4.33333	2683
4.5	2678
4.66667	2682
4.83333	2716
5	2676
5.16667	2688
5.33333	2695
5.5	2697
5.66667	2702
5.83333	2694
6	2685
6.16667	2676
6.33333	2689
6.5	2678
6.66667	2693
6.83333	2691
7	2698
7.16667	2690
7.33333	2687
7.5	2683
7.66667	2679
7.83333	2697
8	2676
8.16667	2706
8.33333	2686
8.5	2682
8.66667	2679
8.83333	2684
9	2696
9.16667	2685
9.33333	2678
9.5	2671
9.66667	2691
9.83333	2683
10	2683
10.16667	2660
10.33333	2685
10.5	2666
10.66667	2675
10.83333	2676
11	2673
11.16667	2677
11.33333	2671
11.5	2690
11.66667	2680
11.83333	2694
12	2679
12.16667	2676
12.33333	2674
12.5	2671
12.66667	2680
12.83333	2692
13	2691
13.16667	2666
13.33333	2677
13.5	2683
13.66667	2680
13.83333	2676
14	2668
14.16667	2692
14.33333	2660
14.5	2681
14.66667	2678
14.83333	2673
15	2670
15.16667	2672
15.33333	2673
15.5	2703
15.66667	2688
15.83333	2675
16	2687
16.16667	2672
16.33333	2683
16.5	2675
16.66667	2669
16.83333	2679
17	2683
17.16667	2654
17.33333	2684
17.5	2675
17.66667	2685
17.83333	2675
18	2685
18.16667	2685
18.33333	2683
18.5	2680
18.66667	2685
18.83333	2691
19	2694
19.16667	2690
19.33333	2684
19.5	2694
19.66667	2697
19.83333	2690
20	2697
20.16667	2681
20.33333	2694
20.5	2688
20.66667	2699
20.83333	2696
21	2696
21.16667	2717
21.33333	2711
21.5	2721
21.66667	2719
21.83333	2740
22	2728
22.16667	2737
22.33333	2736
22.5	2775
22.66667	2759
22.83333	2778
23	2791
23.16667	2780
23.33333	2803
23.5	2790
23.66667	2795
23.83333	2831
24	2848
