Time	0.1 PrLDf...94
0	3209
0.16667	2942
0.33333	3127
0.5	3021
0.66667	3012
0.83333	3002
1	2989
1.16667	2994
1.33333	2994
1.5	2987
1.66667	2989
1.83333	2976
2	2989
2.16667	2978
2.33333	2972
2.5	2990
2.66667	2985
2.83333	2987
3	2999
3.16667	3007
3.33333	3004
3.5	2979
3.66667	3009
3.83333	3006
4	3000
4.16667	3010
4.33333	3026
4.5	3022
4.66667	3042
4.83333	3052
5	3054
5.16667	3042
5.33333	3061
5.5	3052
5.66667	3054
5.83333	3056
6	3040
6.16667	3041
6.33333	3038
6.5	3043
6.66667	3064
6.83333	3038
7	3035
7.16667	3072
7.33333	3043
7.5	3063
7.66667	3072
7.83333	3062
8	3095
8.16667	3100
8.33333	3076
8.5	3070
8.66667	3078
8.83333	3089
9	3069
9.16667	3072
9.33333	3062
9.5	3062
9.66667	3077
9.83333	3078
10	3061
10.16667	3064
10.33333	3057
10.5	3033
10.66667	3050
10.83333	3049
11	3049
11.16667	3052
11.33333	3028
11.5	3043
11.66667	3055
11.83333	3058
12	3046
12.16667	3051
12.33333	3048
12.5	3066
12.66667	3046
12.83333	3036
13	3037
13.16667	3042
13.33333	3039
13.5	3027
13.66667	3052
13.83333	3093
14	3082
14.16667	3075
14.33333	3086
14.5	3092
14.66667	3095
14.83333	3071
15	3082
15.16667	3085
15.33333	3076
15.5	3076
15.66667	3056
15.83333	3065
16	3060
16.16667	3060
16.33333	3073
16.5	3063
16.66667	3077
16.83333	3074
17	3077
17.16667	3063
17.33333	3084
17.5	3090
17.66667	3084
17.83333	3071
18	3100
18.16667	3114
18.33333	3114
18.5	3114
18.66667	3125
18.83333	3120
19	3094
19.16667	3097
19.33333	3109
19.5	3087
19.66667	3099
19.83333	3088
20	3101
20.16667	3078
20.33333	3058
20.5	3051
20.66667	3061
20.83333	3055
21	3036
21.16667	3033
21.33333	3035
21.5	3024
21.66667	3034
21.83333	3026
22	3028
22.16667	3015
22.33333	3028
22.5	3021
22.66667	3027
22.83333	3037
23	3020
23.16667	3018
23.33333	3007
23.5	3003
23.66667	3005
23.83333	3030
24	3032
