hours,mean_0 aSf 10 PrLDm,sd_0 aSf 10 PrLDm,mean_0 aSf 15 PrLDm,sd_0 aSf 15 PrLDm,mean_0 aSf 20 PrLDm,sd_0 aSf 20 PrLDm,mean_0 aSf 25 PrLDm,sd_0 aSf 25 PrLDm,mean_0 aSf 30 PrLDm,sd_0 aSf 30 PrLDm,mean_0 aSf 5 PrLDm,sd_0 aSf 5 PrLDm,mean_0.1 aSf 0 PrLDm,sd_0.1 aSf 0 PrLDm,mean_0.1 aSf 10 PrLDm,sd_0.1 aSf 10 PrLDm,mean_0.1 aSf 15 PrLDm,sd_0.1 aSf 15 PrLDm,mean_0.1 aSf 20 PrLDm,sd_0.1 aSf 20 PrLDm,mean_0.1 aSf 25 PrLDm,sd_0.1 aSf 25 PrLDm,mean_0.1 aSf 30 PrLDm,sd_0.1 aSf 30 PrLDm,mean_0.1 aSf 5 PrLDm,sd_0.1 aSf 5 PrLDm,mean_0.5 aSf 0 PrLDm,sd_0.5 aSf 0 PrLDm,mean_0.5 aSf 10 PrLDm,sd_0.5 aSf 10 PrLDm,mean_0.5 aSf 15 PrLDm,sd_0.5 aSf 15 PrLDm,mean_0.5 aSf 20 PrLDm,sd_0.5 aSf 20 PrLDm,mean_0.5 aSf 25 PrLDm,sd_0.5 aSf 25 PrLDm,mean_0.5 aSf 30 PrLDm,sd_0.5 aSf 30 PrLDm,mean_0.5 aSf 5 PrLDm,sd_0.5 aSf 5 PrLDm,mean_01 aSf 0 PrLDm,sd_01 aSf 0 PrLDm,mean_01 aSf 10 PrLDm,sd_01 aSf 10 PrLDm,mean_01 aSf 15 PrLDm,sd_01 aSf 15 PrLDm,mean_01 aSf 20 PrLDm,sd_01 aSf 20 PrLDm,mean_01 aSf 25 PrLDm,sd_01 aSf 25 PrLDm,mean_01 aSf 30 PrLDm,sd_01 aSf 30 PrLDm,mean_01 aSf 5 PrLDm,sd_01 aSf 5 PrLDm,mean_2 aSf 0 PrLDm,sd_2 aSf 0 PrLDm,mean_2 aSf 10 PrLDm,sd_2 aSf 10 PrLDm,mean_2 aSf 15 PrLDm,sd_2 aSf 15 PrLDm,mean_2 aSf 20 PrLDm,sd_2 aSf 20 PrLDm,mean_2 aSf 25 PrLDm,sd_2 aSf 25 PrLDm,mean_2 aSf 30 PrLDm,sd_2 aSf 30 PrLDm,mean_2 aSf 5 PrLDm,sd_2 aSf 5 PrLDm,mean_4 aSf 0 PrLDm,sd_4 aSf 0 PrLDm,mean_4 aSf 10 PrLDm,sd_4 aSf 10 PrLDm,mean_4 aSf 15 PrLDm,sd_4 aSf 15 PrLDm,mean_4 aSf 20 PrLDm,sd_4 aSf 20 PrLDm,mean_4 aSf 25 PrLDm,sd_4 aSf 25 PrLDm,mean_4 aSf 30 PrLDm,sd_4 aSf 30 PrLDm,mean_4 aSf 5 PrLDm,sd_4 aSf 5 PrLDm
0,3494.259513,206.951223,3489.764505,199.4057665,3600.920549,343.2156381,3466.447447,186.7113371,3651.182223,158.1587476,3552.736524,178.8251689,3520.205375,316.7197673,3927.762317,447.3008287,3553.22316,256.433452,3806.318407,165.1604651,3734.038911,242.2300052,3637.187902,124.1641705,3767.345939,232.5958294,3485.930039,143.4219774,3834.036177,153.913087,3705.923086,102.6735314,3840.679739,375.1093877,3637.531912,346.4020631,3637.583671,210.3933202,3550.931897,114.8727917,3643.023911,252.3653428,3613.111605,210.2900947,3438.534536,208.9451213,342.7314969,235.6740856,3444.950548,295.2342777,3444.069629,84.01180197,3665.742714,197.4164004,3576.694577,152.6895041,3680.806588,177.4874769,3745.472503,217.3800862,3644.665664,220.2147319,3574.872399,48.5325703,1740.624972,334.4494647,3412.042667,39.47703372,4144.731553,691.0217473,3539.937591,361.2125171,3456.037023,190.2768833,3441.194477,166.1084566,3559.847616,138.4107121,3632.179933,334.3197561,3448.779985,118.2433624
0.333,3080.979026,34.75531103,3083.440102,34.16004998,3122.793563,34.13455505,3086.666667,18.47520861,3175,3.22E-13,3061.125186,29.97817478,3198.293006,155.621281,3102.404494,22.74052103,3095,32.90896534,3180.226814,21.92442734,3195.554467,32.89800127,3196.510309,29.15569256,3022.484015,64.31414821,3115.741517,57.80925231,3227.786008,15.71439361,3219.333333,7.505553499,3229.032907,8.590286053,3181,22.5166605,3153.65291,46.46770007,3146.957553,30.29110718,3162.829198,32.50528575,3017.716005,18.00671985,3058,0,321.197864,245.8733821,3060.581641,33.53774216,3137,3.22E-13,2988.223025,9.046544205,3118.955026,42.52152563,3139.658843,27.17339212,3193.293464,27.40333299,3196,0,3173,3.22E-13,1575.25,406.5,2992.666667,2.886751346,3423.501645,328.7637643,3091,19.05255888,3113.666667,32.33161507,3105.333333,28.29016319,3231.833144,11.83535285,3158,38.10511777,3060,6.92820323
0.667,3104.94111,84.69748424,3162.920418,204.2441556,3155.555093,122.2050051,3197.711408,69.55396419,3280.591998,75.58631979,3192.913564,276.1490599,3206.454859,149.7508854,3119.192079,67.0632614,3205.231068,112.199596,3178.506328,40.71415409,3287.920635,110.3635544,3316.89983,139.0816822,3050.15676,82.05481937,3270.132356,98.56680316,3353.5285,147.4369796,3272.724276,50.18513546,3366.551564,193.3226208,3264.505223,90.13620168,3176.049906,69.10179424,3142,51.96152423,3130.950697,25.6672594,3043.407839,75.18458316,3189.566823,105.0443664,311.6404776,215.7908214,3144.429687,194.5623222,3215.405901,46.30069426,3171.601148,84.47468207,3121.884524,73.0279839,3114,3.464101615,3212.951659,88.25086172,3289.001914,40.64362506,3276.235062,47.26098764,1624.884428,364.2511464,3087.236677,101.412266,3298.424635,127.0522714,3172.099252,93.7136653,3120.677564,23.79798996,3213.441548,111.4261275,3380.123576,136.4129369,3325.363935,235.9175185,3173.879442,112.9132183
1,3175.060814,62.92734058,3205.928039,54.16620618,3236.446523,49.22517694,3221.452823,44.83637474,3329.79129,52.03308733,3284.637821,59.65923185,3276.712929,171.2881956,3195.804512,46.52389447,3274.722703,190.7940906,3281.264778,31.54904473,3303.257836,43.42650889,3333.71047,31.3185599,3164.855262,93.73634051,3237.714314,90.22098708,3382.00346,30.26702625,3341.83978,84.61808015,3353.176766,113.5109018,3291.726878,5.294572652,3170.617349,61.54014357,3245.790524,40.41043363,3164.458927,83.43211114,3168.386099,44.95773283,3244.077739,72.05883676,320.3092374,204.6139263,3129.441966,159.5312682,3237.965273,80.97345885,3193.732309,75.57691735,3186.941799,112.5729845,3290.763327,49.33918488,3310.166867,43.60597083,3388.667427,131.6219915,3300.399109,63.41008063,1654.850869,416.3963469,3115.534443,62.50102551,3468.91114,156.1671346,3208.494292,74.38213178,3250.831809,160.8423641,3295.817698,61.06192335,3405.992175,75.46758752,3282.668018,139.3876114,3191.020062,72.13654393
1.333,3149.031658,79.04925328,3193.997793,61.96558108,3234.735709,73.35079804,3212.445597,67.59224944,3377.262572,13.84816855,3239.025366,100.699845,3274.608595,132.6159701,3207.010158,69.89170999,3291.585265,208.6314777,3259.77436,33.99688666,3308.229529,53.12515434,3330.004206,35.80725508,3142.472188,75.84338228,3201.197749,49.48398407,3394.231098,53.53567207,3345.591505,101.3620574,3407.959025,130.3785992,3274.726861,37.04743173,3187.949812,90.63590799,3222.573935,7.596445623,3157.858421,70.36559767,3153.196239,66.44670716,3237.406817,89.99917633,300.1993108,176.6373575,3199.716749,99.27140171,3240.798797,86.81982769,3161.884128,112.686173,3213.28082,65.87807943,3270.807853,44.66505949,3300.550287,10.17236261,3401.436843,113.7252874,3305.584511,85.2724431,1749.275332,613.511903,3097.194098,67.35260214,3483.711025,169.5493252,3202.099615,72.22031698,3287.872483,116.4644435,3281.714222,96.64282022,3396.03539,93.08720868,3347.790378,70.29244442,3181.469354,79.91317578
1.667,3160.257182,70.19633575,3176.922984,69.0656022,3235.137934,83.63428761,3207.14139,82.76179039,3388.744085,47.11916432,3219.068931,130.4123265,3237.015584,149.3755803,3210.563175,61.21649383,3316.501837,232.8095871,3261.175028,58.84414246,3319.574623,57.21003066,3311.99896,67.19171808,3163.15897,47.48746244,3185.298407,62.66896493,3359.066878,65.44769898,3335.996929,102.1014089,3422.379335,142.5966742,3268.20483,49.55162719,3195.565702,131.1334393,3208.636869,21.22513586,3145.929597,58.71926954,3156.160831,60.73519645,3236.27846,89.69207155,281.1832476,141.3554112,3189.329367,98.04734296,3241.14235,105.3856358,3125.272221,59.13645714,3235.822619,63.1407756,3261.069089,66.42590697,3282.882852,18.45050057,3401.689664,122.5878787,3306.007645,103.9580021,1668.497318,465.8635691,3085.220451,72.82037483,3466.20275,188.4561211,3194.513516,70.81750381,3298.850818,133.2243407,3280.639241,126.5084288,3408.262757,131.8565897,3342.916728,103.7235171,3176.254627,63.75849474
2,3151.072059,71.78361896,3192.124593,71.67365008,3243.929524,87.98717504,3215.002325,89.57698918,3376.803099,72.20889696,3222.797616,136.5688417,3232.119958,141.2844641,3193.237782,63.71012115,3333.875914,243.7353434,3272.148022,67.56840865,3314.812183,63.67112597,3323.509969,73.95044813,3204.492064,113.7520795,3184.409602,72.45311645,3358.799402,59.06375363,3340.399269,111.8580505,3449.009758,73.71496382,3274.467626,65.43181218,3205.142857,145.678427,3205.971492,11.92198446,3140.037032,53.34284148,3148.897565,69.19904382,3224.784695,74.73531,286.7134773,152.4059991,3196.184248,105.9660627,3246.263709,97.6748026,3113.070273,52.5352958,3227.814815,76.85099654,3263.565284,56.56393455,3281.699631,4.865236592,3394.375075,145.8493857,3334.711627,129.3496919,1536.675279,203.5345082,3073.974919,68.8976284,3455.028905,171.8627022,3195.145705,74.10679019,3312.257348,150.4064281,3285.227866,123.7305552,3419.177303,146.3238069,3353.788661,113.5601574,3163.016843,66.64273317
2.333,3153.377671,85.06233689,3183.696466,82.02646543,3244.482165,97.28514198,3220.593114,106.8259112,3387.932526,82.46022379,3212.140918,117.9919613,3240.155634,139.1823218,3179.756354,43.9990397,3332.655713,258.9488948,3264.014683,61.25095359,3319.355923,62.88205588,3331.409652,72.24541972,3168.954193,64.97119113,3181.420572,62.92537137,3335.959807,64.01308229,3343.969288,110.7197024,3444.516003,99.2982941,3269.97768,79.07051403,3202.135896,161.8549441,3205.578956,17.26972035,3141.544187,51.79913987,3152.225812,65.44234204,3214.370962,79.54454624,282.2982559,145.9703588,3187.859887,104.0708549,3257.491611,101.7895927,3101.535914,39.17180095,3242.828571,72.11523092,3239.412206,49.56084296,3270.078121,6.132370443,3388.009884,127.5966388,3331.30326,125.145171,1589.206469,285.1694837,3062.248277,60.92258546,3477.988664,164.572956,3206.825348,88.32354784,3309.674751,164.4399083,3307.064657,136.9650882,3416.643144,155.2597667,3364.266077,128.8863934,3161.367686,59.6265352
2.667,3141.914616,78.0182415,3169.051646,63.33639674,3240.713755,109.8483859,3218.157151,102.2943791,3384.314705,79.73681096,3183.367157,100.8780901,3216.767979,109.7889223,3174.664277,66.93393872,3330.330915,256.6067915,3265.743671,86.68228566,3318.172725,55.48850055,3340.948746,74.50178677,3151.314162,44.11321781,3176.545353,65.03314637,3335.601033,41.25787966,3400.204022,175.2157229,3430.462947,102.1048748,3265.925251,87.4865754,3218.705808,172.9419994,3211.997582,20.17217551,3146.906236,46.21704316,3150.506697,68.30329378,3220.666496,80.34200422,304.1809903,189.9989572,3192.774884,94.40959018,3254.899334,110.6569247,3101.132059,44.37985565,3227.490344,76.94385252,3233.478217,58.01400938,3282.326016,25.99859072,3392.528641,139.503356,3341.695213,127.9588776,1483.000324,83.14624292,3064.379931,52.63013226,3452.651955,138.8470372,3191.579054,59.80993876,3291.572008,127.4260361,3309.76677,148.7844232,3432.397459,164.2975194,3371.201767,154.1756725,3161.682034,42.49514104
3,3155.506325,81.18786607,3185.709911,73.4895761,3257.626731,99.83361521,3224.349712,101.932412,3394.532987,83.68322936,3186.488622,78.07625735,3214.246415,123.400611,3171.866605,50.14466978,3310.10281,214.4507475,3290.110347,78.06897707,3314.524067,78.95467743,3344.750859,78.12641209,3149.420839,32.83760684,3174.655966,54.00244733,3396.785659,158.4377566,3404.067362,156.7141457,3423.092089,111.5021035,3271.646577,66.0857863,3226.793355,201.2057968,3262.344746,78.95522263,3138.625206,22.67005838,3139.605725,75.87207702,3227.32656,69.15292989,289.9518477,161.5174774,3187.773421,97.18871136,3279.650366,128.1367041,3100.23042,38.41376322,3234.696561,72.73150983,3239.490278,39.54543747,3288.468367,29.23022246,3395.200861,144.6747203,3340.943303,123.8001383,1461.28,41.5226934,3059.159611,53.96461086,3444.18514,143.1468495,3203.347462,71.8144017,3303.909817,154.178196,3330.037753,163.3165484,3434.573364,156.5154768,3378.610274,153.6534189,3149.290995,41.31441283
