"Time","hours","1 aSf 10 PrLDm","1 aSf 15 PrLDm","1 aSf 20 PrLDm","1 aSf 30 PrLDm","2 aSf 10 PrLDm","2 aSf 15 PrLDm","2 aSf 20 PrLDm","2 aSf 30 PrLDm","4 aSf 10 PrLDm","4 aSf 15 PrLDm","4 aSf 20 PrLDm","4 aSf 30 PrLDm","0 aSf 10 PrLDm","0 aSf 15 PrLDm","0 aSf 20 PrLDm","0 aSf 30 PrLDm","1 aSf 0 PrLDm","2 aSf 0 PrLDm","4 aSf 0 PrLDm"
1899-12-31 00:00:06,0,5205,2710,4276,3958,4914,4759,4506,4711,6773,6772,6083,6085,2177,2155,2200,2249,3873,5480,8822
1899-12-31 00:10:06,0.166666666666667,4299,2431,3866,3513,4121,4023,3948,3957,5385,5375,5227,5318,2022,2006,2285,2062,3269,4476,6583
1899-12-31 00:20:06,0.333333333333333,4233,2488,3636,3407,4201,3820,3747,4080,5087,5111,5106,5101,2224,2011,2349,2074,3279,4093,6350
1899-12-31 00:30:06,0.5,4436,2612,3874,3465,4152,4030,3878,3970,5081,5090,5154,4959,2285,2224,2420,2217,3261,4159,6157
1899-12-31 00:40:06,0.666666666666667,4612,2651,3765,3471,4152,4066,3947,4060,5219,5279,5311,5097,2351,2287,2492,2322,3383,4168,6126
1899-12-31 00:50:06,0.833333333333333,4449,2684,3936,3531,4209,4144,4084,4099,5323,5325,5293,5094,2395,2335,2559,2401,3504,4269,6163
1899-12-31 01:00:06,1,4386,2708,3888,3509,4218,4105,4085,4110,5251,5289,5299,4934,2443,2382,2544,2478,3552,4314,6136
1899-12-31 01:10:06,1.16666666666667,4384,2723,3891,3552,4240,4127,4108,4168,5265,5306,5151,4983,2444,2390,2556,2502,3602,4294,6059
1899-12-31 01:20:06,1.33333333333333,4307,2719,3908,3573,4253,4113,4122,4145,5209,5229,5074,4819,2432,2397,2578,2541,3634,4352,5968
1899-12-31 01:30:06,1.5,4345,2741,3958,3528,4222,4178,4119,4169,5167,5180,5063,4891,2454,2424,2579,2565,3722,4352,5895
1899-12-31 01:40:06,1.66666666666667,4333,2737,3935,3570,4315,4152,4113,4173,5075,5133,4931,4767,2455,2443,2587,2582,3751,4341,5797
1899-12-31 01:50:06,1.83333333333333,4360,2758,3917,3713,4350,4143,4019,4142,5103,5109,4832,4650,2465,2450,2589,2600,3751,4332,5691
1899-12-31 02:00:06,2,4339,2741,3980,3645,4318,4182,4053,4199,5049,5053,4799,4737,2475,2450,2609,2618,3774,4306,5621
1899-12-31 02:10:06,2.16666666666667,4334,2781,4022,3772,4309,4167,4099,4181,5005,5001,4771,4707,2483,2462,2610,2650,3760,4307,5542
1899-12-31 02:20:06,2.33333333333333,4364,2784,3933,3689,4353,4158,4035,4244,4936,5055,4657,4709,2490,2463,2613,2663,3775,4279,5486
1899-12-31 02:30:06,2.5,4397,2781,4024,3897,4381,4177,4059,4281,4911,5081,4575,4813,2485,2479,2623,2667,3804,4271,5416
1899-12-31 02:40:06,2.66666666666667,4303,2799,4038,3968,4402,4205,4024,4413,4866,5112,4522,4779,2504,2496,2626,2688,3808,4244,5311
1899-12-31 02:50:06,2.83333333333333,4351,2794,4007,4185,4459,4163,4030,4421,4837,5127,4453,4865,2514,2511,2632,2699,3817,4190,5224
1899-12-31 03:00:06,3,4354,2798,3968,4305,4499,4239,3983,4525,4825,5233,4505,5136,2512,2518,2650,2697,3817,4188,5151
1899-12-31 03:10:06,3.16666666666667,4367,2802,4026,4641,4539,4236,3984,4705,4853,5329,4365,5222,2511,2504,2658,2705,3739,4150,5081
