"","Time","hours","0 aSf 5 PrLDm","0 aSf 10 PrLDm","0 aSf 15 PrLDm","0 aSf 20 PrLDm","0 aSf 25 PrLDm","0 aSf 30 PrLDm","0.1 aSf 5 PrLDm","0.1 aSf 10 PrLDm","0.1 aSf 15 PrLDm","0.1 aSf 20 PrLDm","0.1 aSf 25 PrLDm","0.1 aSf 30 PrLDm","0.5 aSf 5 PrLDm","0.5 aSf 10 PrLDm","0.5 aSf 15 PrLDm","0.5 aSf 20 PrLDm","0.5 aSf 25 PrLDm","0.5 aSf 30 PrLDm","1 aSf 5 PrLDm","1 aSf 10 PrLDm","1 aSf 15 PrLDm","1 aSf 20 PrLDm","1 aSf 25 PrLDm","1 aSf 30 PrLDm","2 aSf 5 PrLDm","2 aSf 10 PrLDm","2 aSf 15 PrLDm","2 aSf 20 PrLDm","2 aSf 25 PrLDm","2 aSf 30 PrLDm","4 aSf 5 PrLDm","4 aSf 10 PrLDm","4 aSf 15 PrLDm","4 aSf 20 PrLDm","4 aSf 25 PrLDm","4 aSf 30 PrLDm"
"1",1899-12-31 00:00:04,0,2578,2583,2720,2899,2864,3128,4815,2721,2909,3302,3490,3432,5261,2826,3060,3822,4813,4393,5018,5110,4488,4855,5255,5769,3090,3021,3324,3452,3470,3587,3079,3183,18868,19506,19359,21644
"2",1899-12-31 00:20:04,0.333,2361,2384,2522,2625,2638,2765,3698,2601,2706,2987,3242,3223,3594,2500,2704,3302,3572,3832,3763,3770,3539,3874,4167,4687,2782,2817,3136,3191,3318,3419,3003,3107,12694,13164,13410,14779
"3",1899-12-31 00:40:04,0.667,2347,2382,2556,2739,2693,2782,4090,2715,2758,3075,3220,3229,3441,2651,2777,3380,3531,3906,3781,3810,3525,3811,4175,4740,2924,2832,3205,3236,3405,3517,3030,3170,12109,12564,13042,14325
"4",1899-12-31 01:00:04,1,2492,2481,2542,2707,2695,2907,4300,2689,2764,3052,3262,3287,3409,2558,2758,3342,3653,3867,3775,3794,3646,3957,4306,4628,2976,3009,3198,3304,3391,3520,3153,3311,11847,12462,13208,14288
"5",1899-12-31 01:20:04,1.333,2490,2457,2552,2698,2698,2899,4653,2667,2747,3050,3276,3263,3466,2575,2734,3371,3661,3905,3725,3800,3657,3969,4283,4709,3001,3021,3216,3296,3391,3505,3161,3290,11697,12605,12927,14318
"6",1899-12-31 01:40:04,1.667,2512,2482,2548,2689,2687,2887,4657,2658,2765,3079,3367,3271,3487,2576,2737,3405,3636,3947,3723,3799,3667,3980,4310,4642,3011,3070,3223,3327,3414,3550,3159,3320,11700,12725,13169,14595
"7",1899-12-31 02:00:04,2,2480,2457,2537,2684,2690,2885,4639,2650,2747,3056,3323,3243,3450,2560,2754,3363,3657,3865,3699,3794,3702,4018,4374,4702,2998,3071,3207,3305,3403,3502,3145,3277,11631,12678,13062,14635
"8",1899-12-31 02:20:04,2.333,2468,2422,2523,2675,2650,2844,4617,2628,2730,3021,3296,3304,3424,2542,2743,3352,3615,3888,3680,3794,3699,4061,4349,4824,2961,3076,3203,3281,3383,3501,3137,3270,11546,12931,13186,14481
"9",1899-12-31 02:40:04,2.667,2464,2420,2511,2645,2658,2845,4623,2635,2751,3033,3380,3309,3435,2520,2736,3375,3639,3947,3702,3812,3646,4091,4352,4778,2987,3105,3230,3286,3374,3514,3157,3262,11541,12761,13196,14584
"10",1899-12-31 03:00:04,3,2468,2413,2513,2632,2665,2823,4790,2629,2757,3098,3359,3322,3428,2520,2714,3394,3645,3979,3705,3809,3705,4061,4359,4784,2977,3116,3221,3284,3408,3518,3158,3273,11582,12868,13347,14992
"11",1899-12-31 03:20:04,3.333,2440,2385,2496,2614,2618,2810,4660,2579,2743,3095,3323,3281,3369,2494,2689,3358,3645,3918,3690,3766,3700,4000,4359,4662,2922,3094,3165,3253,3363,3481,3158,3235,11510,12502,13035,14948
"12",1899-12-31 03:40:04,3.667,2398,2363,2467,2582,2600,2772,4677,2579,2716,3040,3262,3286,3351,2459,2655,3336,3622,3993,3622,3766,3610,4007,4288,4590,2937,3061,3143,3230,3344,3467,3131,3216,11413,12479,13079,14908
"13",1899-12-31 04:00:04,4,2366,2337,2458,2571,2587,2771,4676,2545,2687,3004,3249,3264,3303,2429,2627,3311,3698,3933,3623,3701,3656,3979,4203,4436,2926,3072,3114,3217,3334,3434,3108,3184,11318,11656,13053,14556
"14",1899-12-31 04:20:04,4.333,2487,2469,2615,2676,2726,2911,4759,2671,2855,3161,3406,3475,3454,2570,2797,3523,3807,4217,3797,3928,3856,4203,4520,4911,3095,3175,3260,3390,3516,3638,3289,3370,11932,13140,13657,14850
"15",1899-12-31 04:40:04,4.667,2488,2450,2620,2692,2735,2903,4803,2692,2870,3150,3447,3442,3481,2576,2789,3530,3806,4173,3819,3919,3874,4273,4572,5014,3118,3205,3265,3367,3509,3619,3322,3400,11931,12932,13721,15172
"16",1899-12-31 05:00:04,5,2456,2452,2611,2670,2731,2919,4927,2656,2890,3183,3463,3463,3492,2553,2783,3555,3826,4269,3808,3928,3827,4308,4528,4952,3104,3218,3258,3373,3521,3666,3349,3384,11933,13492,13711,15390
"17",1899-12-31 05:20:04,5.333,2433,2455,2598,2696,2714,2930,4888,2716,2845,3253,3504,3430,3464,2549,2789,3559,3859,4259,3795,3920,3867,4307,4505,4742,3120,3227,3267,3378,3530,3679,3350,3408,11949,13268,13834,15621
"18",1899-12-31 05:40:04,5.667,2431,2439,2575,2663,2729,2925,4934,2665,2901,3166,3446,3459,3460,2532,2831,3601,3883,4264,3798,3959,3878,4204,4584,5179,3170,3212,3245,3370,3517,3681,3369,3420,11965,13405,13814,14884
"19",1899-12-31 06:00:04,6,2417,2437,2593,2678,2728,2921,5085,2659,2877,3153,3436,3485,3460,2554,2893,3644,3913,4384,3798,3960,3820,4208,4624,5152,3141,3193,3265,3371,3541,3700,3383,3439,11994,13281,14184,15061
"20",1899-12-31 06:20:04,6.333,2410,2433,2588,2651,2729,2932,5164,2654,2827,3173,3448,3525,3487,2543,2974,3686,3926,4380,3826,3949,3893,4249,4597,5013,3119,3191,3256,3384,3531,3703,3431,3455,11971,13343,13894,15435
"21",1899-12-31 06:40:04,6.667,2410,2455,2579,2685,2746,2925,5378,2706,2866,3125,3425,3586,3459,2543,3156,3700,3960,4401,3831,3955,3870,4317,4590,5085,3173,3233,3268,3401,3550,3697,3449,3496,12048,13758,13811,15846
"22",1899-12-31 07:00:04,7,2392,2424,2586,2669,2726,2932,5300,2676,2882,3199,3497,3600,3465,2526,3280,3745,3979,4501,3825,3965,3964,4268,4675,5065,3246,3259,3232,3390,3553,3716,3501,3484,12050,12927,13980,15328
"23",1899-12-31 07:20:04,7.333,2401,2440,2608,2680,2743,2929,5300,2663,2909,3222,3514,3610,3472,2544,3425,3764,3992,4548,3834,3975,3972,4326,4742,5214,3284,3264,3229,3406,3586,3726,3531,3522,12054,13654,13934,15244
"24",1899-12-31 07:40:04,7.667,2404,2426,2590,2673,2756,2939,5319,2657,2825,3151,3485,3633,3468,2544,3428,3774,4067,4667,3850,3974,3981,4362,4688,5254,3255,3312,3254,3406,3619,3744,3526,3557,12026,12973,14014,15478
"25",1899-12-31 08:00:04,8,2392,2418,2592,2665,2743,2926,5445,2666,2844,3195,3532,3648,3476,2536,3539,3822,4098,4740,3837,3980,3962,4343,4750,5319,3274,3322,3253,3415,3648,3746,3568,3592,12137,13485,14045,15824
"26",1899-12-31 08:20:04,8.333,2407,2440,2581,2678,2744,2923,5493,2713,2914,3260,3564,3666,3466,2527,3705,3845,4134,4819,3850,3975,3979,4327,4710,5165,3385,3316,3275,3451,3706,3817,3598,3641,12100,13312,14115,15459
"27",1899-12-31 08:40:04,8.667,2398,2438,2577,2663,2754,2932,5463,2705,2884,3235,3640,3683,3474,2521,4004,3840,4143,4973,3832,4002,3990,4348,4864,5352,3385,3358,3299,3487,3792,3885,3652,3646,12082,13196,14192,15039
"28",1899-12-31 09:00:04,9,2379,2426,2602,2668,2764,2930,5388,2698,2862,3172,3680,3792,3459,2540,4149,3851,4247,5079,3837,3996,4021,4265,4817,5490,3484,3445,3330,3506,3895,3962,3689,3733,12101,13756,14659,15298
"29",1899-12-31 09:20:04,9.333,2400,2427,2595,2674,2787,2941,5406,2649,2872,3227,3739,3839,3477,2525,4400,3934,4266,5221,3851,4023,3995,4337,4775,5505,3507,3436,3360,3590,3998,4107,3707,3811,12218,12701,14041,15456
"30",1899-12-31 09:40:04,9.667,2391,2425,2606,2683,2785,2940,5550,2647,2906,3352,3846,3954,3488,2528,4441,3974,4281,5323,3843,4032,4007,4444,4840,5474,3689,3484,3411,3658,4182,4263,3770,3869,12097,13750,14340,15764
"31",1899-12-31 10:00:04,10,2387,2423,2602,2720,2800,2943,5614,2647,2883,3294,4003,4064,3483,2532,4861,3986,4316,5488,3856,4028,4030,4454,4983,5529,3889,3610,3446,3753,4373,4469,3892,3981,12235,13000,14406,15226
"32",1899-12-31 10:20:04,10.333,2385,2446,2605,2735,2804,2953,5575,2686,2865,3351,4107,4233,3461,2526,5255,4043,4390,5632,3875,4059,4030,4451,5008,5490,3867,3728,3540,3862,4615,4735,4004,4137,12200,13796,14130,15297
"33",1899-12-31 10:40:04,10.667,2402,2447,2605,2746,2809,2955,5631,2687,2890,3418,4202,4468,3477,2533,5328,4051,4472,5810,3886,4055,4051,4484,4987,5697,3960,3910,3642,4028,4894,5106,4138,4363,12103,13359,14464,14743
"34",1899-12-31 11:00:04,11,2401,2459,2636,2793,2819,2967,5645,2682,2961,3567,4370,4682,3484,2549,5681,4088,4585,5909,3883,4099,4064,4479,4984,5870,4049,4083,3806,4222,5281,5527,4305,4612,12252,13314,14639,15112
"35",1899-12-31 11:20:04,11.333,2385,2453,2620,2838,2836,2973,5642,2707,2894,3640,4515,4911,3498,2527,6492,4159,4578,5989,3870,4083,4073,4541,5066,5803,4202,4247,3923,4492,5801,5986,4518,4922,12216,13596,14196,16026
"36",1899-12-31 11:40:04,11.667,2403,2449,2623,2899,2856,2988,5681,2736,2890,3797,4696,5147,3466,2552,6282,4248,4660,6156,3906,4083,4108,4535,5104,5796,4456,4473,4121,4786,6458,6595,4792,5279,12398,13350,14583,14824
"37",1899-12-31 12:00:04,12,2386,2428,2608,2959,2866,2987,5743,2683,2952,3920,4871,5311,3494,2538,6701,4304,4771,6318,3873,4100,4101,4532,5102,5761,4543,4704,4281,5114,7144,7224,5033,5656,12337,14169,14278,15480
"38",1899-12-31 12:20:04,12.333,2395,2445,2624,3045,2883,2985,5805,2671,2983,4053,5035,5562,3503,2545,7588,4333,4813,6490,3888,4119,4122,4473,5128,6022,4629,4949,4523,5521,7914,7901,5312,6096,13074,12840,14297,15804
"39",1899-12-31 12:40:04,12.667,2389,2434,2618,3118,2894,2983,5701,2689,2943,4254,5154,5713,3471,2533,7886,4382,4869,6608,3889,4098,4113,4490,5073,5990,4741,5196,4730,5937,8567,8565,5582,6568,12421,13922,14473,15961
