"Time","hours","0.1 aSf 5 PrLDm","0.1 aSf 10 PrLDm","0.1 aSf 15 PrLDm","0.1 aSf 20 PrLDm","0.1 aSf 25 PrLDm","0.1 aSf 30 PrLDm","0.5 aSf 5 PrLDm","0.5 aSf 10 PrLDm","0.5 aSf 15 PrLDm","0.5 aSf 20 PrLDm","0.5 aSf 25 PrLDm","0.5 aSf 30 PrLDm","1 aSf 5 PrLDm","1 aSf 10 PrLDm","1 aSf 15 PrLDm","1 aSf 20 PrLDm","1 aSf 25 PrLDm","1 aSf 30 PrLDm","2 aSf 5 PrLDm","2 aSf 10 PrLDm","2 aSf 15 PrLDm","2 aSf 20 PrLDm","2 aSf 25 PrLDm","2 aSf 30 PrLDm","4 aSf 5 PrLDm","4 aSf 10 PrLDm","4 aSf 15 PrLDm","4 aSf 20 PrLDm","4 aSf 25 PrLDm","4 aSf 30 PrLDm","0 aSf 5 PrLDm","0 aSf 10 PrLDm","0 aSf 15 PrLDm","0 aSf 20 PrLDm","0 aSf 25 PrLDm","0 aSf 30 PrLDm","0.1 aSf 0 PrLDm","0.5 aSf 0 PrLDm","1 aSf 0 PrLDm","2 aSf 0 PrLDm","4 aSf 0 PrLDm"
1899-12-31 00:00:04,0,3934,4041,3835,3987,3973,3673,3635,3797,3690,3572,3481,3771,3748,3640,3677,3680,3778,3539,3531,3773,3952,3843,3602,3729,3585,3957,3673,3633,3714,4018,3665,3632,3523,3548,3550,3567,4063,3808,4260,4031,5341
1899-12-31 00:20:04,0.333333333333333,3123,3123,3133,3191,3231,3202,3198,3293,3228,3230,3207,3181,3062,3036,3058,3172,3095,3137,3137,3206,3213,3197,3173,3173,3068,3113,3151,3138,3225,3202,3122,3104,3095,3132,3108,3175,3257,3327,3462,3460,4110
1899-12-31 00:40:04,0.666666666666667,3228,3083,3076,3155,3381,3438,3144,3569,3321,3294,3279,3174,3139,3000,3131,3116,3028,3216,3349,3151,3162,3245,3302,3358,3056,3080,3110,3089,3434,3151,3550,3201,3045,3085,3240,3367,3397,3539,3417,3387,3718
1899-12-31 01:00:04,1,3383,3160,3169,3299,3296,3354,3326,3478,3280,3257,3292,3155,3217,3145,3275,3289,3047,3187,3221,3281,3358,3244,3234,3314,3124,3146,3095,3243,3354,3136,3299,3157,3150,3206,3189,3280,3548,3495,3387,3360,3595
1899-12-31 01:20:04,1.33333333333333,3339,3146,3205,3255,3296,3294,3259,3423,3252,3260,3232,3154,3163,3097,3284,3249,3137,3173,3197,3263,3310,3287,3210,3279,3105,3154,3209,3210,3322,3312,3201,3120,3142,3165,3163,3379,3491,3404,3380,3503,3652
1899-12-31 01:40:04,1.66666666666667,3314,3143,3179,3226,3268,3238,3217,3374,3240,3263,3212,3128,3149,3090,3292,3222,3120,3165,3179,3225,3264,3272,3186,3212,3129,3146,3200,3192,3288,3271,3151,3121,3113,3161,3135,3336,3467,3392,3357,3599,3625
1899-12-31 02:00:04,2,3288,3124,3203,3234,3253,3239,3226,3386,3239,3383,3199,3144,3136,3073,3227,3199,3107,3149,3169,3241,3278,3237,3187,3218,3124,3137,3198,3186,3287,3276,3160,3114,3123,3155,3145,3294,3439,3409,3355,3600,3628
1899-12-31 02:20:04,2.33333333333333,3278,3131,3173,3220,3249,3248,3220,3346,3240,3349,3179,3111,3137,3080,3215,3192,3099,3161,3159,3225,3265,3253,3187,3242,3125,3143,3194,3205,3278,3279,3162,3105,3104,3143,3132,3293,3458,3401,3364,3624,3713
1899-12-31 02:40:04,2.66666666666667,3278,3098,3180,3197,3258,3255,3223,3377,3283,3337,3168,3110,3123,3072,3214,3192,3110,3145,3172,3209,3264,3242,3194,3219,3134,3138,3195,3181,3283,3256,3142,3094,3117,3124,3127,3293,3444,3397,3366,3607,3695
1899-12-31 03:00:04,3,3254,3114,3176,3219,3224,3255,3236,3352,3302,3311,3202,3100,3137,3052,3192,3200,3095,3157,3159,3235,3266,3237,3198,3254,3123,3147,3193,3205,3286,3279,3158,3089,3109,3145,3140,3298,3456,3384,3377,3626,3703
