"","Time","hours","0 aSf 5 PrLDm","0 aSf 10 PrLDm","0 aSf 15 PrLDm","0 aSf 20 PrLDm","0 aSf 25 PrLDm","0 aSf 30 PrLDm","0.1 aSf 5 PrLDm","0.1 aSf 10 PrLDm","0.1 aSf 15 PrLDm","0.1 aSf 20 PrLDm","0.1 aSf 25 PrLDm","0.1 aSf 30 PrLDm","0.5 aSf 5 PrLDm","0.5 aSf 10 PrLDm","0.5 aSf 15 PrLDm","0.5 aSf 20 PrLDm","0.5 aSf 25 PrLDm","0.5 aSf 30 PrLDm","1 aSf 5 PrLDm","1 aSf 10 PrLDm","1 aSf 15 PrLDm","1 aSf 20 PrLDm","1 aSf 25 PrLDm","1 aSf 30 PrLDm","4 aSf 5 PrLDm","4 aSf 10 PrLDm","4 aSf 15 PrLDm","4 aSf 20 PrLDm","4 aSf 25 PrLDm","4 aSf 30 PrLDm","2 aSf 5 PrLDm","2 aSf 10 PrLDm","2 aSf 15 PrLDm","2 aSf 20 PrLDm","2 aSf 25 PrLDm","2 aSf 30 PrLDm","0.1 aSf 0 PrLDm","0.5 aSf 0 PrLDm","1 aSf 0 PrLDm","2 aSf 0 PrLDm","4 aSf 0 PrLDm"
"1",1899-12-31 00:00:04,0,"3431","3485","3522","3407","3785","4020","3519","3447","3469","3792","3795","3907","3420","3763","3720","3946","3901","4246","3466","3489","3499","4074","3809","4156","3463","3561","3697","4046","4315","4461","3349","3479","3704","3836","4053","4475","3444","3459","3631","3632","4162"
"2",1899-12-31 00:20:04,0.333,"2996","3112","3165","3196","3413","3644","2960","3089","3201","3266","3444","3534","3112","3210","3311","3452","3638","3977","2983","3087","3193","3497","3587","3858","3123","3288","3449","3736","4038","4081","3029","3249","3443","3600","3833","3999","3387","3071","3270","3283","3609"
"3",1899-12-31 00:40:04,0.667,"2991","3118","3318","3323","3555","3850","3070","3208","3411","3339","3608","3738","3202","3346","3317","3844","3843","3887","3222","3221","3457","3862","3991","4011","3353","3488","3508","3996","4359","4205","3038","3283","3843","3847","4032","4091","3348","3207","3272","3276","3660"
"4",1899-12-31 01:00:04,1,"3187","3339","3303","3424","3557","3821","3091","3260","3637","3359","3644","3740","3218","3356","3406","3729","3786","3900","3281","3231","3441","3888","3925","4097","3339","3513","3807","4067","4373","4442","3352","3467","3684","3843","4078","4262","3380","3192","3243","3515","4080"
"5",1899-12-31 01:20:04,1.333,"3174","3279","3305","3405","3585","3827","3117","3295","3673","3342","3662","3758","3228","3456","3431","3707","3783","3901","3292","3227","3440","3905","3926","4106","3336","3507","3813","4102","4383","4462","3354","3460","3689","3864","4099","4270","3383","3192","3251","3508","4129"
"6",1899-12-31 01:40:04,1.667,"3168","3290","3304","3420","3618","3822","3175","3274","3731","3342","3678","3762","3223","3434","3424","3716","3796","3892","3193","3261","3429","3889","3911","4134","3320","3497","3845","4143","4444","4505","3366","3463","3675","3881","4109","4316","3351","3194","3264","3477","4134"
"7",1899-12-31 02:00:04,2,"3152","3279","3283","3424","3687","3817","3329","3261","3762","3346","3677","3770","3208","3427","3421","3683","3800","3877","3172","3257","3444","3933","3925","4113","3311","3500","3881","4141","4478","4534","3379","3455","3693","3887","4132","4316","3355","3179","3260","3476","4100"
"8",1899-12-31 02:20:04,2.333,"3130","3251","3280","3407","3668","3839","3234","3228","3779","3352","3666","3765","3208","3408","3431","3685","3815","3885","3146","3261","3439","3883","3912","4137","3301","3531","3898","4188","4488","4571","3347","3474","3695","3894","4161","4335","3353","3162","3255","3474","4107"
"9",1899-12-31 02:40:04,2.667,"3124","3249","3274","3421","3670","3848","3184","3233","3774","3351","3663","3782","3230","3383","3415","3661","3782","3912","3147","3289","3450","3872","3904","4140","3281","3476","3829","4200","4518","4615","3298","3453","3663","3900","4148","4333","3288","3161","3273","3466","4046"
"10",1899-12-31 03:00:04,3,"3118","3253","3281","3431","3672","3862","3184","3214","3702","3393","3665","3776","3232","3579","3425","3671","3766","3904","3144","3275","3453","3885","3896","4197","3267","3506","3878","4251","4505","4627","3274","3468","3681","3892","4159","4341","3287","3156","3273","3446","4035"
"11",1899-12-31 03:20:04,3.333,"3140","3237","3284","3410","3694","3849","3145","3215","3622","3390","3653","3777","3225","3569","3432","3677","3784","4127","3121","3285","3444","3863","3924","4191","3294","3448","3876","4277","4565","4623","3279","3476","3677","3927","4202","4358","3301","3145","3280","3440","4034"
"12",1899-12-31 03:40:04,3.667,"3118","3225","3291","3427","3674","3856","3176","3212","3523","3379","3674","3755","3238","3576","3433","3686","3788","4159","3121","3286","3466","3852","3906","4194","3296","3467","3922","4188","4556","4648","3251","3510","3690","3913","4220","4372","3327","3221","3267","3421","4030"
"13",1899-12-31 04:00:04,4,"3096","3230","3279","3418","3685","3876","3158","3202","3486","3388","3664","3760","3232","3598","3424","3669","3805","4182","3145","3284","3463","3849","3881","4202","3259","3516","3947","4348","4598","4692","3234","3471","3713","3931","4258","4392","3321","3229","3391","3422","4003"
"14",1899-12-31 04:20:04,4.333,"3096","3236","3289","3411","3699","3873","3105","3194","3455","3395","3653","3774","3225","3584","3438","3675","3789","4241","3119","3288","3461","3863","3926","4219","3247","3520","3914","4354","4598","4694","3277","3510","3705","3939","4232","4432","3324","3202","3384","3497","3990"
"15",1899-12-31 04:40:04,4.667,"3105","3237","3281","3427","3700","3860","3115","3208","3415","3389","3645","3761","3218","3541","3457","3660","3794","4315","3120","3286","3482","3844","3920","4205","3287","3522","4043","4250","4579","4736","3244","3464","3735","3943","4262","4481","3356","3199","3368","3533","3981"
"16",1899-12-31 05:00:04,5,"3096","3233","3286","3418","3688","3876","3065","3214","3398","3404","3672","3751","3221","3521","3437","3654","3784","4397","3140","3303","3481","3871","3952","4240","3278","3563","3920","4302","4667","4810","3246","3516","3723","3946","4301","4498","3315","3191","3352","3527","3949"
"17",1899-12-31 05:20:04,5.333,"3099","3224","3268","3430","3687","3881","3077","3214","3381","3389","3675","3787","3213","3485","3467","3668","3793","4479","3110","3303","3469","3835","3939","4233","3282","3494","3911","4344","4656","4844","3224","3516","3744","3968","4303","4493","3340","3170","3358","3520","3990"
"18",1899-12-31 05:40:04,5.667,"3079","3205","3284","3467","3686","3898","3068","3209","3367","3405","3675","3760","3210","3460","3455","3672","3791","4477","3132","3310","3596","3873","3947","4282","3277","3579","3870","4318","4608","4778","3234","3484","3729","3960","4303","4521","3341","3195","3376","3507","3942"
