"","Time","hours","0.1 aSf 0 PrLDm","0.5 aSf 0 PrLDm","1 aSf 0 PrLDm","2 aSf 0 PrLDm","4 aSf 0 PrLDm","0.1 aSf 5 PrLDm","0.1 aSf 10 PrLDm","0.1 aSf 15 PrLDm","0.1 aSf 20 PrLDm","0.1 aSf 25 PrLDm","0.1 aSf 30 PrLDm","0.5 aSf 5 PrLDm","0.5 aSf 10 PrLDm","0.5 aSf 15 PrLDm","0.5 aSf 20 PrLDm","0.5 aSf 25 PrLDm","0.5 aSf 30 PrLDm","1 aSf 5 PrLDm","1 aSf 10 PrLDm","1 aSf 15 PrLDm","1 aSf 20 PrLDm","1 aSf 25 PrLDm","1 aSf 30 PrLDm","2 aSf 5 PrLDm","2 aSf 10 PrLDm","2 aSf 15 PrLDm","2 aSf 20 PrLDm","2 aSf 25 PrLDm","2 aSf 30 PrLDm","4 aSf 5 PrLDm","4 aSf 10 PrLDm","4 aSf 15 PrLDm","4 aSf 20 PrLDm","4 aSf 25 PrLDm","4 aSf 30 PrLDm","0 aSf 5 PrLDm","0 aSf 10 PrLDm","0 aSf 15 PrLDm","0 aSf 20 PrLDm","0 aSf 25 PrLDm","0 aSf 30 PrLDm"
"1",1899-12-31 00:00:04,0,3255,3426,3518,3648,3784,4089,4733,4188,4654,4584,4680,3817,4308,5349,5493,5559,6819,4029,4220,3867,4238,4456,4722,3773,4278,4391,4889,5329,5582,3515,3703,4088,4373,4807,5178,3781,3851,4102,4662,4427,4965
"2",1899-12-31 00:20:04,0.333,3114,3158,3160,3123,3252,3173,3413,3690,3945,3909,4033,3322,3480,4507,4165,4365,5642,3113,3343,3597,3929,4079,4339,3282,3507,3737,4240,4692,4791,3185,3428,3746,4038,4433,4706,3147,3319,3476,3703,3786,4112
"3",1899-12-31 00:40:04,0.667,3044,3285,3104,3205,3194,3041,3382,3913,3896,3880,3961,3268,3448,4593,4143,4365,5908,3359,3324,3678,3924,4049,4383,3377,3475,3687,4378,4764,4983,3319,3527,3757,4245,4405,5393,3109,3258,3403,3625,3837,4179
"4",1899-12-31 01:00:04,1,3079,3244,3260,3201,3445,3219,3493,3791,4075,4000,4127,3389,3625,4820,4277,4528,5894,3287,3568,3719,4527,4038,4420,3389,3677,3816,4642,4969,5129,3316,3549,3923,4290,4605,4950,3324,3346,3587,3772,3942,4307
"5",1899-12-31 01:20:04,1.333,3124,3221,3239,3156,3393,3167,3507,3767,4070,3998,4168,3375,3615,4841,4511,4544,5989,3231,3575,3686,4191,4198,4441,3368,3697,3836,4661,4989,5131,3309,3525,3913,4240,4597,4956,3281,3309,3551,3793,3920,4355
"6",1899-12-31 01:40:04,1.667,3066,3182,3212,3165,3361,3196,3545,3821,4111,4056,4166,3380,3577,4827,4552,4529,6091,3234,3556,3685,4162,4196,4422,3354,3694,3829,4662,4981,5172,3284,3519,3929,4215,4627,4946,3258,3341,3540,3782,3925,4408
"7",1899-12-31 02:00:04,2,3074,3178,3200,3141,3355,3191,3523,3819,4137,4058,4199,3378,3571,4851,4540,4568,6136,3231,3555,3704,4144,4225,4489,3345,3697,3833,4674,5012,5172,3257,3528,3941,4243,4636,4954,3247,3327,3562,3814,3919,4416
"8",1899-12-31 02:20:04,2.333,3082,3194,3201,3166,3339,3189,3507,3831,4117,4092,4223,3383,3560,4851,4564,4559,6168,3221,3554,3687,4136,4217,4492,3341,3665,3811,4650,5023,5226,3261,3528,3918,4253,4627,4954,3245,3325,3553,3823,3927,4441
"9",1899-12-31 02:40:04,2.667,3090,3184,3198,3143,3334,3186,3521,3820,4153,4080,4231,3377,3553,5049,4554,4597,6221,3233,3527,3698,4139,4231,4500,3341,3665,3862,4664,5056,5253,3273,3540,3926,4282,4652,4969,3227,3321,3521,3826,3937,4429
"10",1899-12-31 03:00:04,3,3072,3196,3163,3166,3311,3204,3515,3835,4166,4106,4252,3520,3566,5025,4547,4593,6295,3219,3528,3744,4116,4240,4522,3344,3652,3873,4668,5044,5252,3260,3538,3920,4275,4671,4954,3245,3355,3568,3869,3933,4454
