Time,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:00:05,4952,4089,3899,3966,3833,3939,4274,4101,4095,4063,3793,3984,4308,4368,4400,4015,4021,4100,4432,4156,4108,3882,3500,4047
0:10:05,3481,3364,3320,3396,3351,3383,3769,3609,3540,3455,3427,3471,3815,3645,3665,3556,3503,3546,3857,3589,3577,3538,3452,3482
0:20:05,3255,3110,3091,3576,3128,3117,3494,3309,3251,3211,3199,3214,3501,3302,3351,3299,3242,3290,3550,3323,3305,3319,3208,3191
0:30:05,3207,3014,3008,3593,3041,3030,4012,3214,3166,3509,3119,3180,3503,3241,3244,3224,3158,3191,3477,3614,3626,3830,3155,3125
0:40:05,3276,3097,2982,3686,3000,3009,4006,3324,3122,3432,3190,3370,3790,3636,3598,3506,3525,3171,3812,3545,3574,3893,3234,3344
0:50:05,3259,3104,3039,3521,2963,2972,3833,3486,3315,3403,3127,3329,3671,3518,3614,3438,3491,3534,3835,3462,3556,3807,3264,3261
1:00:05,3241,3064,3042,3317,3266,3305,3632,3462,3270,3348,3127,3271,3668,3544,3604,3411,3446,3584,3870,3418,3545,3733,3263,3204
1:10:05,3242,3068,3093,3287,3234,3245,3639,3400,3244,3267,3104,3238,3628,3550,3626,3363,3434,3768,3972,3388,3523,3722,3254,3172
1:20:05,3245,3044,3069,3274,3186,3216,3593,3351,3219,3211,3119,3203,3594,3570,3662,3324,3393,3924,4036,3445,3534,3668,3254,3174
1:30:05,3250,3048,3042,3246,3170,3185,3548,3363,3208,3183,3104,3171,3687,3552,3656,3318,3404,3497,3795,3445,3505,3636,3249,3153
1:40:05,3240,3019,3034,3276,3155,3162,3531,3325,3182,3156,3084,3151,3792,3472,3555,3272,3406,3463,3803,3440,3487,3577,3227,3143
1:50:05,3393,3012,3009,3260,3141,3129,3559,3274,3176,3120,3105,3146,3791,3428,3515,3257,3387,3444,3845,3431,3471,3537,3228,3224
2:00:05,3374,3015,3013,3258,3125,3126,3491,3280,3164,3103,3068,3130,3864,3401,3474,3237,3387,3426,3828,3418,3481,3508,3195,3293
2:10:05,3381,3023,3015,3241,3099,3131,3513,3276,3161,3089,3080,3157,3845,3391,3479,3245,3372,3428,3779,3428,3462,3486,3191,3372
2:20:05,3389,3035,3007,3258,3101,3091,3506,3249,3164,3097,3086,3126,3836,3355,3477,3227,3367,3419,3821,3431,3461,3447,3177,3376
2:30:05,3346,3019,3016,3245,3081,3095,3529,3238,3136,3084,3058,3105,3766,3351,3465,3216,3364,3408,3800,3427,3436,3437,3151,3364
2:40:05,3369,3009,3016,3237,3081,3094,3484,3230,3124,3088,3079,3111,3816,3356,3484,3214,3360,3409,3815,3412,3430,3419,3152,3370
2:50:05,3368,3005,2988,3247,3098,3093,3480,3237,3122,3103,3081,3116,3787,3323,3471,3195,3354,3403,3933,3420,3418,3416,3152,3388
3:00:05,3374,2998,2989,3222,3084,3090,3462,3230,3144,3087,3065,3122,3751,3325,3461,3223,3358,3402,3894,3409,3400,3404,3146,3378
3:10:05,3342,3001,3003,3247,3087,3080,3450,3207,3134,3077,3086,3130,3749,3312,3455,3207,3353,3408,3902,3433,3361,3405,3147,3386
3:20:05,3354,3000,2994,3249,3057,3068,3455,3218,3130,3075,3067,3121,3697,3315,3450,3188,3369,3399,3906,3416,3349,3386,3135,3403
3:30:05,3348,2986,3017,3273,3083,3089,3515,3229,3117,3105,3086,3119,3638,3317,3477,3191,3349,3405,3914,3429,3324,3364,3133,3400
3:40:05,3331,3010,2990,3262,3061,3076,3515,3211,3127,3066,3077,3100,3609,3299,3440,3201,3353,3406,3875,3419,3338,3358,3137,3387
3:50:05,3332,3004,2999,3286,3082,3060,3565,3199,3120,3078,3097,3117,3585,3289,3455,3198,3365,3407,3909,3438,3332,3344,3132,3323
4:00:05,3289,3002,2998,3284,3064,3080,3545,3209,3122,3081,3101,3129,3621,3294,3462,3196,3357,3403,3864,3439,3322,3341,3133,3298
4:10:05,3304,3005,2995,3275,3076,3069,3535,3211,3121,3067,3134,3099,3656,3281,3457,3195,3370,3411,3928,3433,3304,3317,3130,3279
4:20:05,3356,3014,2992,3293,3071,3075,3549,3212,3118,3054,3127,3107,3664,3271,3472,3195,3368,3397,3902,3444,3293,3336,3138,3283
4:30:05,3387,3017,2994,3273,3060,3066,3560,3224,3133,3081,3160,3092,3672,3291,3461,3197,3360,3404,3934,3417,3313,3317,3137,3263
4:40:05,3386,2997,2997,3293,3057,3061,3541,3219,3117,3077,3184,3116,3681,3290,3476,3186,3378,3410,3930,3432,3299,3330,3130,3250
4:50:05,3385,3015,2997,3272,3067,3056,3528,3241,3139,3067,3213,3107,3680,3292,3453,3194,3340,3402,3903,3443,3286,3334,3115,3238
5:00:05,3411,2995,3014,3280,3071,3070,3520,3234,3135,3092,3257,3098,3654,3280,3458,3205,3379,3406,3911,3455,3286,3318,3125,3249
5:10:05,3646,3024,2981,3269,3076,3058,3536,3254,3139,3064,3304,3085,3683,3279,3424,3175,3373,3399,3942,3465,3298,3311,3129,3215
5:20:05,3650,3021,2985,3300,3065,3075,3497,3254,3145,3099,3334,3090,3544,3270,3418,3182,3359,3402,3959,3476,3294,3293,3106,3196
5:30:05,3701,3036,3013,3271,3079,3072,3535,3262,3153,3100,3481,3072,3491,3275,3426,3185,3362,3394,3941,3475,3274,3325,3130,3216
5:40:05,3768,3001,2985,3270,3076,3063,3494,3267,3149,3093,3528,3116,3533,3260,3438,3191,3374,3400,3947,3530,3293,3309,3119,3201
5:50:05,3786,3039,2994,3270,3066,3067,3474,3271,3169,3094,3624,3084,3505,3294,3430,3188,3363,3396,3913,3541,3291,3302,3149,3187
6:00:05,3786,3045,2982,3270,3065,3072,3464,3312,3181,3097,3679,3090,3541,3271,3418,3197,3373,3412,3892,3580,3300,3328,3155,3165
6:10:05,3828,3042,2989,3266,3071,3044,3470,3315,3171,3138,3886,3091,3533,3272,3425,3200,3376,3406,3863,3621,3295,3319,3169,3169
6:20:05,3834,3029,2971,3262,3074,3071,3453,3375,3202,3140,3974,3111,3563,3285,3431,3211,3380,3410,3869,3711,3292,3314,3206,3159
6:30:05,3876,3025,2986,3289,3068,3049,3448,3347,3203,3155,4194,3120,3528,3269,3417,3209,3372,3403,3863,3741,3276,3314,3239,3168
6:40:05,3919,3061,2982,3267,3054,3059,3467,3390,3228,3174,4333,3108,3537,3282,3432,3228,3388,3373,3848,3768,3274,3314,3282,3144
6:50:05,3935,3078,3000,3269,3071,3064,3533,3426,3253,3252,4636,3115,3551,3305,3444,3249,3422,3406,3903,3876,3278,3320,3325,3157
7:00:05,3939,3056,2979,3254,3054,3043,3562,3447,3293,3251,4867,3104,3553,3306,3432,3281,3439,3397,3908,3911,3284,3321,3415,3142
7:10:05,3978,3069,2976,3266,3057,3074,3567,3502,3319,3332,5082,3127,3502,3312,3448,3305,3472,3380,3897,4013,3296,3317,3492,3123
7:20:05,4017,3100,2989,3282,3066,3044,3579,3520,3342,3420,5347,3110,3502,3293,3452,3348,3505,3421,3896,4097,3288,3307,3549,3112
7:30:05,4054,3093,2999,3283,3051,3044,3559,3607,3390,3676,5683,3107,3510,3320,3473,3439,3570,3423,3921,4247,3276,3329,3644,3106
7:40:05,4116,3112,3031,3278,3064,3043,3534,3730,3444,3786,6101,3100,3498,3339,3500,3512,3612,3403,3926,4335,3303,3334,3761,3125
7:50:05,4140,3108,3042,3285,3043,3052,3550,3754,3530,3994,6312,3109,3502,3357,3582,3659,3650,3394,3905,4519,3292,3354,3861,3134
8:00:05,4188,3136,3098,3287,3055,3054,3555,3872,3608,4269,6951,3105,3494,3354,3606,3917,3701,3405,3870,4615,3295,3374,3979,3107
8:10:05,4244,3150,3146,3286,3046,3061,3533,4045,3678,4092,7648,3095,3467,3380,3668,4123,3743,3406,3876,4851,3299,3378,4096,3092
8:20:05,4366,3165,3205,3277,3038,3054,3541,4128,3821,4476,8339,3127,3471,3421,3715,4467,3807,3401,3809,5005,3297,3465,4229,3064
8:30:05,4562,3173,3302,3318,3036,3070,3541,4322,3945,4742,8238,3110,3476,3512,3839,4867,3951,3393,3780,5238,3301,3457,4426,3064
8:40:05,4822,3197,3432,3324,3066,3055,3522,4577,4067,4470,9121,3105,3461,3614,4069,5350,4043,3399,3799,5542,3337,3601,4589,3075
8:50:05,4943,3205,3561,3328,3069,3036,3492,4864,4227,5205,9342,3122,3493,3775,4118,6024,4129,3401,3784,5904,3331,3619,4817,3091
9:00:05,4915,3268,3659,3356,3047,3045,3512,5316,4470,5159,9663,3126,3459,3911,4486,6882,4258,3398,3782,6337,3350,3699,5055,3080
9:10:05,4753,3276,3901,3359,3049,3060,3520,5773,4689,5748,10205,3124,3458,4080,4721,7746,4373,3396,3774,6913,3393,3881,5437,3075
9:20:05,4605,3329,3967,3388,3053,3039,3473,6691,4974,6471,11077,3118,3447,4319,4959,9072,4506,3409,3758,7612,3448,3816,5798,3052
9:30:05,4503,3376,4203,3464,3040,3050,3494,7389,5343,8464,11234,3113,3460,4513,5315,10429,4662,3377,3775,8669,3493,3920,6164,3062
9:40:05,4378,3411,4440,3494,3046,3057,3509,9339,5760,9009,11904,3138,3453,4772,5737,12089,4909,3403,3765,9724,3545,4257,6607,3079
9:50:05,4230,3464,4723,3564,3038,3038,3496,10587,6239,10613,12844,3135,3482,5207,6244,14385,5100,3403,3783,11214,3635,4470,7222,3068
10:00:05,4162,3549,5139,3603,3048,3047,3519,12772,6833,13361,12522,3133,3502,5620,6812,15982,5361,3411,3797,12550,3737,4602,7835,3071
10:10:05,4083,3649,5537,3696,3043,3041,3528,15204,7474,13600,13530,3119,3520,6370,7768,18595,5833,3404,3786,14627,3856,4600,8526,3069
10:20:05,4054,3756,6191,3755,3044,3047,3530,18085,8239,15962,13286,3136,3501,6881,8640,21672,6085,3399,3827,17217,4003,5114,9276,3061
10:30:05,3991,3902,6569,3836,3022,3037,3480,21588,9152,18461,13386,3143,3503,7514,9466,24559,6885,3394,3805,18937,4222,5476,10192,3071
10:40:05,3959,4111,7127,4078,3030,3038,3489,24944,10212,22088,13739,3151,3510,8124,11086,27255,7186,3398,3768,21403,4450,5515,10980,3030
10:50:05,3924,4346,7756,4217,3032,3045,3491,29484,11365,23819,14242,3178,3459,9151,12643,30590,7531,3403,3793,23768,4734,6252,12147,3050
11:00:05,3905,4668,9088,4404,3031,3011,3482,32672,12665,28418,14834,3191,3459,10002,13899,33569,8483,3397,3801,27828,5106,6731,13350,3031
11:10:05,3868,5090,10278,4624,3044,3030,3473,37513,14141,30666,14326,3196,3440,11778,15248,36916,9275,3408,3806,29792,5528,7525,14142,3035
11:20:05,3842,5595,11581,4887,3037,3038,3486,43600,15639,34713,14680,3205,3445,13090,17398,40228,9723,3411,3848,33285,5985,8282,14658,3037
11:30:05,3798,6224,13218,5157,3027,3040,3517,50767,17147,36600,15345,3200,3450,15018,19616,42205,10738,3413,3825,35025,6586,9410,15584,3035
11:40:05,3782,6982,14873,5509,3046,3052,3542,54506,18604,40050,14924,3220,3459,17751,22853,45290,11467,3408,3873,38814,7153,10172,16912,3041
11:50:05,3729,7860,16419,5959,3041,3046,3520,60827,20095,42808,15050,3224,3465,20340,25956,47678,12439,3382,3846,42432,7889,11305,17801,3015
12:00:05,3705,8833,18510,6561,3055,3035,3509,63340,21872,48348,15757,3246,3459,23362,29354,50790,13305,3397,3771,44029,8671,12685,18593,3024
12:10:05,3643,9996,21230,7518,3029,3024,3497,66856,23042,48773,15031,3272,3444,26763,33344,51936,13981,3404,3767,46636,9521,14737,19787,3017
12:20:05,3648,11239,23842,8045,3036,3037,3493,73818,24462,54496,15833,3288,3438,30895,35486,52545,14730,3387,3758,51864,10485,16509,20254,3034
12:30:05,3631,12540,27677,9620,3038,3051,3575,77624,25676,56606,15266,3326,3464,34632,40315,54011,15116,3413,3731,49340,11546,18650,21406,3013
12:40:05,3589,13962,30967,10439,3037,3025,3600,78565,27026,58968,16144,3362,3453,39034,42981,55216,15862,3400,3745,56095,12711,21121,21406,3035
