Time,A1,A2,B2,B1,A3,A4,A5,A6,A7,A8,A9,A10,B3,B4,B5,B6,B7,B8,B9,B10
0:00:06,3967,3699,3606,3669,3773,3522,3739,3837,3665,3960,3779,3757,3547,3510,3527,3693,3947,3831,3785,3662
0:10:06,3241,3037,2922,3157,3099,3062,3035,3388,3121,3157,3200,3153,2946,3011,3032,3203,3123,3037,3035,2969
0:20:06,3392,2935,2797,3020,2967,2946,2891,3270,3010,3007,3054,3034,2816,2864,2884,3044,2972,2895,2908,2847
0:30:06,3316,3167,2749,2997,3202,2909,2873,3550,3251,3037,3012,3001,2767,2822,2858,3257,2942,2850,2866,3040
0:40:06,3320,3206,2793,3101,3212,3178,3155,3599,3219,3144,3141,3279,3238,2837,2859,3185,2953,2881,2872,3003
0:50:06,3364,3291,2850,3092,3235,3207,3132,3700,3243,3160,3094,3238,3068,3164,2850,3146,2923,2844,2872,2966
1:00:06,3535,3392,2898,3063,3233,3189,3090,3695,3237,3048,3074,3231,3002,3044,3009,3195,2905,2986,3095,3038
1:10:06,3601,3455,2852,3043,3257,3191,3087,3667,3253,3044,3083,3228,2963,2984,2992,3227,3038,2980,3149,3018
1:20:06,3572,3451,2830,3021,3262,3180,3104,3631,3281,3057,3059,3201,2923,2972,2954,3204,2991,2968,3168,3021
1:30:06,3552,3463,2819,3020,3280,3156,3096,3627,3386,3052,3092,3198,2917,2943,2936,3217,2988,2934,3124,3035
1:40:06,3485,3335,2806,3005,3288,3163,3075,3606,3513,3035,3056,3193,2892,2930,2933,3270,3020,2952,3096,3023
1:50:06,3463,3187,2805,2999,3189,3166,3074,3620,3611,3028,3073,3184,2886,2909,2930,3293,3032,2938,3080,3030
2:00:05,3378,3164,2792,2983,3160,3169,3096,3621,3681,3071,3056,3184,2856,2930,2939,3301,3020,2934,3102,3046
2:10:06,3358,3143,2794,2983,3173,3179,3103,3613,3796,3101,3065,3221,2857,2916,2924,3299,2996,2932,3071,3038
2:20:06,3360,3134,2803,2975,3179,3166,3103,3630,3912,3148,3051,3200,2845,2911,2907,3341,2994,2927,3128,3034
2:30:06,3336,3143,2790,3026,3190,3190,3073,3641,4024,3155,3052,3201,2857,2904,2921,3352,2996,2918,3126,3031
2:40:06,3322,3141,2809,3156,3159,3195,3127,3627,4074,3204,3060,3205,2847,2899,2917,3308,2985,2922,3135,3034
2:50:06,3304,3141,2795,3137,3199,3213,3120,3635,4045,3242,3046,3216,2839,2902,2921,3346,2992,2917,3114,3035
3:00:05,3349,3123,2781,3078,3202,3225,3140,3673,4044,3283,3088,3229,2840,2901,2917,3301,2987,2920,3160,3042
3:10:06,3324,3126,2782,3052,3228,3266,3151,3675,4062,3317,3062,3198,2807,2882,2900,3313,2995,2914,3158,3055
3:20:06,3358,3136,2769,3008,3233,3273,3196,3681,4033,3342,3108,3212,2823,2901,2905,3299,2997,2906,3146,3057
3:30:06,3323,3146,2777,3039,3252,3298,3214,3676,4020,3408,3098,3236,2804,2868,2910,3245,2979,2920,3156,3041
3:40:06,3343,3171,2765,2995,3307,3363,3245,3671,4009,3451,3114,3247,2819,2892,2911,3232,2985,2913,3154,3039
3:50:06,3313,3154,2778,3030,3328,3410,3273,3682,3981,3501,3141,3276,2829,2876,2910,3259,2987,2931,3152,3037
4:00:06,3357,3172,2803,3012,3375,3450,3324,3669,3980,3572,3149,3287,2818,2881,2911,3253,2975,2924,3157,3075
4:10:05,3313,3184,2795,3056,3448,3532,3372,3711,3973,3650,3195,3308,2829,2914,2919,3265,2984,2925,3131,3085
4:20:06,3380,3204,2810,3055,3497,3633,3452,3747,3950,3742,3222,3345,2841,2896,2940,3279,2992,2923,3133,3065
4:30:06,3331,3207,2805,3094,3584,3708,3552,3708,3940,3734,3267,3366,2856,2912,2924,3325,3006,2944,3144,3075
4:40:06,3401,3236,2799,3070,3678,3848,3640,3707,3904,3815,3358,3383,2855,2913,2951,3245,3003,2940,3157,3083
4:50:06,3343,3259,2801,3101,3796,3971,3777,3717,3900,3855,3387,3479,2851,2924,2956,3287,3007,2926,3156,3107
5:00:06,3406,3289,2799,3067,3937,4184,3941,3724,3842,3774,3453,3500,2875,2933,2962,3254,3001,2956,3134,3115
5:10:06,3385,3295,2792,3082,4118,4353,4060,3583,3705,3638,3518,3573,2871,2946,2961,3298,3023,2942,3176,3100
5:20:06,3388,3299,2809,3089,4294,4594,4247,3550,3473,3641,3619,3613,2864,2938,2952,3302,3023,2962,3171,3104
5:30:06,3364,3361,2828,3081,4527,4903,4475,3531,3435,3736,3724,3725,2871,2944,2968,3385,3037,2955,3190,3122
5:40:05,3410,3368,2805,3106,4733,5325,4748,3552,3417,3791,3888,3795,2866,2933,2963,3355,3033,2958,3169,3116
5:50:06,3384,3402,2831,3104,4979,5756,5046,3539,3422,3912,4044,3954,2884,2946,2963,3363,3037,2974,3200,3138
6:00:06,3435,3432,2824,3069,5258,6327,5424,3562,3430,4012,4236,4048,2869,2953,2952,3408,3023,2972,3195,3148
6:10:06,3391,3478,2826,3062,5518,6890,5815,3568,3432,4170,4524,4244,2872,2970,2998,3376,3036,2954,3193,3146
6:20:06,3420,3484,2813,3080,5817,7599,6322,3528,3443,4263,4671,4427,2872,2947,2977,3289,3027,2966,3192,3180
6:30:06,3399,3539,2819,3061,6162,8266,6967,3522,3458,4444,4956,4637,2869,2970,2985,3331,3045,2975,3200,3173
6:40:05,3473,3592,2835,3032,6470,9044,7567,3545,3480,4570,5285,4842,2869,2961,2993,3375,3039,2979,3197,3187
6:50:06,3387,3644,2827,3065,6824,9854,8385,3558,3501,4678,5489,5130,2876,2965,3010,3434,3042,2976,3190,3206
7:00:06,3411,3717,2836,3050,7160,10614,9280,3531,3537,4904,5805,5430,2897,2948,2988,3416,3039,2968,3232,3216
7:10:06,3413,3751,2825,3053,7498,11255,10363,3547,3552,5064,6243,5733,2893,2972,2985,3437,3023,2972,3213,3242
7:20:06,3484,3796,2826,2999,7814,11858,11550,3590,3561,5317,6591,6170,2862,2981,2990,3384,3051,2983,3210,3246
7:30:06,3413,3849,2826,3049,8129,12465,12738,3626,3631,5466,6960,6682,2890,2982,3021,3411,3045,2972,3218,3265
7:40:06,3420,3940,2815,3062,8447,12936,13990,3546,3683,5697,7330,7192,2878,2975,3013,3313,3059,2988,3216,3304
7:50:06,3416,4029,2834,3049,8718,13409,15214,3564,3706,5955,7671,7609,2892,2974,3014,3420,3057,2978,3237,3291
8:00:06,3494,4093,2828,3093,8953,13936,16647,3591,3734,6186,7876,8169,2912,2992,3015,3400,3064,2992,3215,3328
8:10:05,3452,4168,2843,3092,9124,14350,17724,3598,3783,6348,8124,8682,2919,3003,3013,3458,3064,2989,3215,3360
