Time,A1,A2,A3,A4,A5,A6,A7,B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,C5,C6,C7,D1,D2,D3,D4,D5,D6,D7
0:00:06,3598,3234,3185,3460,3248,3215,3229,3553,3350,3454,3549,3458,3174,3288,3339,3123,3259,3323,3199,3081,3247,3472,3328,3404,3544,3508,3397,3210
0:10:06,3180,2956,2957,3068,2977,2937,2992,3285,3026,3047,3145,3179,2837,2922,3120,2929,2987,3026,2935,2872,2955,3252,3081,3118,3378,3178,2812,2906
0:20:06,3136,2886,2873,2966,2902,2865,2931,3206,2937,2951,3043,3079,2760,2832,3059,2834,2913,2917,2851,2774,2868,3622,3031,3023,3316,3089,2994,2805
0:30:06,3764,2890,2851,2936,2879,2846,2892,3355,2924,3050,3014,3049,3064,2797,3064,2833,2894,2902,2823,2752,2841,3688,3041,3029,3268,3157,2978,2799
0:40:06,3790,2996,2868,2923,3242,2947,2901,3363,3080,3340,3037,3071,2882,2806,3366,3072,3134,2926,2846,3097,3553,3601,3277,3043,3364,3240,2933,3140
0:50:06,3631,2975,2985,3040,3236,2919,2882,3348,3090,3336,3063,3436,3058,3240,3399,3021,3083,3106,2860,3025,3536,3614,3247,3145,3367,3234,2934,3123
1:00:06,3514,2966,3055,3021,3233,2932,3122,3350,3063,3302,3150,3425,3050,3126,3339,3013,3090,3099,3074,2993,3388,3542,3257,3118,3366,3215,2939,3088
1:10:06,3455,2960,3027,3029,3214,2897,3074,3339,3061,3320,3134,3392,3040,3053,3342,2983,3072,3092,3052,2966,3317,3552,3249,3126,3362,3192,2924,3070
1:20:06,3383,2953,3003,3076,3215,2914,3052,3348,3067,3328,3143,3398,3014,3012,3326,2983,3072,3086,3027,2939,3232,3516,3239,3214,3375,3184,2920,3065
1:30:06,3304,2957,3011,3070,3207,2900,3036,3347,3069,3325,3249,3371,3031,2962,3278,2985,3058,3063,3022,2933,3082,3523,3217,3202,3372,3191,2915,3059
1:40:06,3279,2956,3005,3072,3224,2908,3011,3359,3072,3371,3255,3379,3021,2946,3269,2976,3052,3068,2989,2911,3079,3532,3209,3198,3397,3187,2895,3067
1:50:06,3215,2940,2997,3052,3215,2883,3004,3366,3077,3349,3284,3370,3020,2920,3242,2988,3035,3055,2994,2931,3041,3531,3212,3180,3476,3200,2888,3057
2:00:06,3236,2942,3013,3081,3221,2893,3028,3374,3075,3379,3266,3410,3006,2927,3272,2946,3028,3085,2959,2905,3018,3545,3206,3190,3445,3182,2883,3051
2:10:06,3224,2949,3016,3067,3213,2871,2984,3363,3083,3380,3307,3403,3022,2914,3256,2980,3031,3063,2985,2896,3017,3504,3215,3196,3463,3172,2897,3065
2:20:06,3205,2930,2987,3064,3228,2866,2975,3358,3088,3420,3326,3438,3010,2889,3221,2950,3030,3050,2959,2891,3014,3553,3209,3174,3457,3198,2916,3045
2:30:06,3195,2961,3025,3064,3251,2860,2985,3365,3099,3444,3366,3469,2992,2895,3259,2944,3026,3036,2955,2877,2992,3511,3200,3181,3451,3191,2889,3003
2:40:06,3177,2961,3018,3078,3247,2865,2976,3378,3100,3496,3400,3516,3020,2876,3229,2942,3012,3023,2946,2861,2975,3564,3208,3170,3474,3179,2907,3015
2:50:06,3172,2954,3019,3166,3257,2857,2957,3364,3124,3550,3473,3552,3005,2856,3262,2921,3005,3029,2959,2868,2985,3540,3183,3184,3434,3189,2894,3016
3:00:06,3166,2957,3021,3195,3264,2858,2961,3406,3107,3631,3524,3660,3007,2878,3190,2930,3013,3031,2950,2850,2975,3582,3187,3187,3427,3195,2901,3010
3:10:06,3162,2983,3034,3214,3281,2864,3082,3401,3132,3682,3611,3719,3007,2885,3283,2946,3001,3020,2962,2852,2974,3590,3217,3204,3472,3183,2913,3023
3:20:06,3138,2956,3062,3222,3300,2854,3062,3408,3185,3788,3698,3801,3015,2889,3195,2925,2995,3027,2937,2853,2959,3575,3191,3205,3472,3186,2907,3019
3:30:06,3149,2960,3097,3237,3325,2848,3039,3401,3196,3889,3866,3946,3004,2901,3261,2935,3013,3012,2946,2845,2961,3596,3197,3201,3479,3194,2909,3005
3:40:06,3147,2986,3093,3266,3341,2855,3058,3399,3219,4016,4034,4042,3006,2883,3297,2934,3000,3016,2956,2839,2955,3572,3199,3179,3488,3194,2910,3013
3:50:06,3135,2994,3151,3298,3388,2858,3058,3414,3245,4204,4259,4222,3008,2891,3353,2915,2999,3022,2949,2851,2966,3594,3207,3196,3470,3211,2926,3022
4:00:06,3134,3034,3188,3346,3402,2855,3053,3406,3258,4422,4540,4442,3010,2878,3288,2938,3004,3032,2927,2853,2943,3584,3208,3200,3464,3190,2919,3024
4:10:06,3152,3049,3232,3400,3462,2848,3027,3405,3273,4683,4871,4719,3010,2879,3410,3035,3013,3023,2964,2847,2948,3631,3205,3187,3479,3205,2934,2990
4:20:06,3128,3070,3303,3456,3509,2855,3038,3393,3321,5006,5320,4978,3000,2888,3339,3038,3010,3035,2949,2855,2949,3645,3212,3207,3475,3202,2932,3016
4:30:06,3144,3076,3382,3549,3572,2844,3048,3405,3318,5278,5885,5392,3012,2883,3386,3040,3000,3022,2946,2845,2954,3622,3220,3211,3481,3219,2937,3020
4:40:06,3125,3114,3469,3642,3644,2858,3031,3405,3381,5675,6546,5803,3014,2888,3308,3036,3014,3051,2950,2846,2945,3640,3203,3211,3477,3213,2919,3009
4:50:06,3148,3160,3604,3767,3749,2868,3045,3380,3417,6081,7494,6345,3009,2901,3449,3025,3028,3042,2933,2856,2950,3707,3194,3198,3464,3215,2927,3009
5:00:06,3123,3212,3782,3898,3841,2861,3028,3379,3470,6483,8549,6999,3014,2891,3329,3025,3014,3026,2946,2836,2947,3653,3222,3202,3498,3234,2923,3011
5:10:06,3151,3253,4009,4068,3976,2866,3007,3405,3468,6900,9861,7888,3011,2878,3401,2997,3004,3046,2961,2842,2938,3740,3216,3197,3462,3231,2940,2996
5:20:06,3110,3343,4253,4280,4143,2860,2999,3365,3549,7346,11262,8958,3027,2873,3304,3011,3022,3046,2943,2853,2936,3689,3206,3211,3432,3249,2953,3015
5:30:06,3138,3424,4546,4582,4323,2866,3029,3369,3602,7734,12749,10340,3007,2866,3428,3025,3030,3038,2948,2843,2945,3711,3215,3210,3449,3238,2948,2993
5:40:06,3099,3561,4913,4960,4565,2843,3019,3380,3669,8230,14162,12036,2996,2881,3323,3024,3019,3041,2967,2838,2939,3731,3216,3219,3472,3240,2946,2994
5:50:06,3133,3673,5310,5458,4848,2873,3017,3373,3738,8622,15604,14062,3024,2881,3366,3006,3035,3049,2961,2850,2946,3795,3214,3217,3540,3251,2951,3009
6:00:06,3094,3854,5777,6043,5204,2867,3007,3393,3806,8998,16838,16682,3019,2895,3321,3022,3028,3031,2968,2842,2949,3771,3235,3217,3552,3258,2943,3015
6:10:06,3131,4034,6257,6784,5519,2852,3037,3378,3884,9379,17848,19679,3018,2882,3381,3042,3035,3047,2949,2829,2956,3813,3257,3244,3559,3237,2962,3003
6:20:06,3109,4230,6828,7664,5995,2858,3035,3381,3941,9773,19117,22786,3008,2872,3327,3021,3032,3041,2968,2825,2965,3849,3244,3215,3580,3269,2954,3008
6:30:06,3126,4441,7407,8697,6523,2867,3034,3354,4013,10069,20160,25751,3042,2878,3466,3019,3034,3061,2973,2845,2942,3878,3251,3231,3562,3253,2980,3011
6:40:06,3096,4720,7941,9857,7145,2863,3035,3333,4103,10396,20974,28459,3019,2879,3374,3010,3027,3048,2979,2858,2942,3867,3260,3261,3592,3255,2956,3002
6:50:06,3124,4997,8548,11078,7846,2860,3020,3297,4184,10667,21754,31114,3030,2884,3464,3012,3027,3055,2981,2846,2931,3968,3249,3250,3590,3265,2956,2995
7:00:06,3090,5254,9110,12315,8696,2870,3005,3334,4278,10948,22398,33357,3037,2868,3337,3009,3036,3053,2981,2851,2942,3917,3243,3257,3584,3276,2956,3002
7:10:06,3123,5531,9711,13576,9729,2859,3025,3300,4383,11116,23107,34994,3032,2885,3496,3024,3041,3280,2978,2864,2939,3980,3254,3271,3574,3273,2952,3010
7:20:06,3090,5803,10332,14823,10947,2854,3017,3356,4437,11417,23745,36385,3022,2885,3378,3040,3030,3303,2980,2849,2946,3964,3260,3265,3564,3284,2981,3000
7:30:06,3113,6085,10775,16004,12350,2865,3027,3291,4560,11639,24310,37754,3031,2884,3478,3027,3057,3292,3004,2852,2956,4000,3268,3272,3586,3292,2987,3013
7:40:06,3093,6337,11297,17105,13956,2860,3032,3336,4646,11940,24772,38772,3020,2875,3350,3048,3058,3295,2989,2843,2945,3998,3289,3265,3648,3533,3010,3029
7:50:06,3090,6611,11810,18225,15707,2850,3056,3286,4721,12134,25238,39895,3038,2888,3431,3068,3066,3303,2997,2853,2932,4016,3259,3293,3653,3514,3010,3012
8:00:06,3078,6898,12393,19328,17671,2861,3029,3342,4840,12332,25519,40720,3032,2877,3363,3061,3074,3300,3024,2851,2932,4014,3295,3299,3695,3518,3003,2988
8:10:06,3098,7114,12876,20233,19621,2851,3019,3292,4906,12536,25889,41531,3024,2888,3500,3058,3078,3307,3017,2860,2948,4020,3299,3301,3693,3525,3002,3017
8:20:06,3070,7337,13324,21196,21692,2854,3021,3351,5020,12791,26401,42066,3045,2889,3339,3060,3079,3311,3034,2857,2946,3986,3308,3290,3730,3542,3016,3035
8:30:06,3122,7539,13801,21948,23517,2879,3025,3319,5096,12970,26565,42847,3040,2889,3511,3077,3091,3337,3044,2844,2958,4024,3300,3315,3705,3572,3023,3023
8:40:06,3121,7723,14227,22635,25229,2879,3026,3324,5194,13190,26794,43575,3041,2887,3370,3085,3095,3324,3055,2866,2964,4027,3340,3333,3747,3570,3032,3019
8:50:06,3144,7899,14487,23109,26786,2869,3046,3299,5279,13361,27125,43973,3054,2907,3518,3118,3109,3350,3070,2848,2952,4014,3368,3349,3737,3605,3050,3029
9:00:06,3124,8080,14857,23638,28265,2863,3043,3346,5387,13568,27272,44623,3048,2900,3395,3120,3104,3357,3080,2852,2962,3989,3363,3367,3764,3622,3062,3047
9:10:06,3130,8242,15150,24172,29439,2841,3043,3368,5462,13708,27465,45358,3036,2898,3541,3127,3106,3382,3110,2855,2947,4108,3369,3381,3807,3651,3050,3041
9:20:06,3137,8356,15452,24505,30558,2878,3052,3404,5539,13830,27571,45813,3050,2912,3397,3118,3115,3385,3099,2850,2966,4034,3390,3400,3797,3646,3076,3041
9:30:06,3141,8482,15741,24845,31692,2856,3041,3378,5635,13930,27723,45856,3056,2903,3447,3136,3130,3401,3122,2852,2959,4064,3418,3418,3804,3679,3084,3062
9:40:06,3128,8630,15993,25313,32600,2865,3036,3390,5685,14104,27828,46650,3053,2915,3371,3158,3129,3402,3147,2862,2965,4081,3442,3456,3836,3722,3089,3037
9:50:06,3125,8709,16231,25471,33491,2852,3066,3316,5765,14199,27890,46401,3054,2903,3542,3163,3144,3419,3166,2850,2943,3992,3469,3471,3850,3768,3071,3062
