Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
0:00:04,3170,3133,3180,3308,3245,3863,4063,4246,4368,4377,4440,4670,5594,5149,5297,6011,6012,6342,6676,6915,7180,7966,8509,8862,10385,2892,2889,2956,2992,3027,3209,3286,3547,4116,4926,3131
0:10:04,3013,3043,3076,3119,3175,4077,4410,4644,4892,5069,4949,5649,6254,6541,6766,8586,8058,9104,9908,10410,9267,11705,13569,15695,18621,2686,2685,2677,2696,2724,2942,3025,3275,3919,4452,2889
0:20:04,3152,3234,3315,3424,3395,4845,5514,6148,6577,7258,6411,7837,9201,9708,10360,13927,11673,14352,16207,17467,10737,15523,20316,25762,30920,2756,2657,2620,2667,3195,3127,2973,3305,3771,4735,2935
0:30:03,3357,3470,3611,3646,3684,5835,6936,7826,8691,9522,7609,10340,12420,13407,14401,19453,14771,19214,22673,25217,11371,16511,23035,30084,37484,2729,2733,2619,2805,2807,3021,3243,3634,3833,4732,2886
0:40:04,3557,3706,3902,3801,3914,6603,8115,9435,10681,11903,8285,12255,15237,16838,18379,24108,15971,22329,27371,31175,11491,16954,23934,31437,39788,2705,2754,2714,2778,2754,3012,3257,3691,3826,4794,2931
0:50:04,3678,3884,4160,3964,4130,7209,9296,10978,12574,14175,8644,13674,17601,19978,22086,27559,16464,23901,30164,35483,11601,17142,24350,32133,41130,2699,2742,2707,2760,2768,3002,3271,3762,3825,4817,2942
1:00:03,3824,4052,4359,4107,4328,7653,10362,12400,14380,16324,8824,14596,19573,22764,25390,29905,16712,24736,31954,38269,11708,17224,24545,32453,41727,2718,2727,2711,2750,2754,2989,3283,3663,3823,4944,2909
1:10:04,3950,4208,4572,4258,4510,8000,11356,13729,16018,18319,8975,15195,21142,25220,28479,31307,16843,25157,32812,40076,11770,17306,24737,32800,42236,2705,2715,2845,2769,2743,2994,3312,3547,3825,4959,2900
1:20:04,4074,4344,4783,4421,4670,8255,12204,15096,17492,20089,9042,15531,22347,27208,31195,32164,16937,25428,33396,41153,11807,17347,24841,32989,42543,2707,2734,2835,2767,2738,2994,3303,3441,3844,4973,2899
1:30:04,4208,4500,4958,4534,4860,8396,13033,16159,18882,21847,9070,15727,23196,29011,33380,32884,17063,25679,33794,41793,11838,17444,24936,33199,42772,2714,2736,2807,2741,2739,2987,3345,3389,3865,5004,2900
1:40:04,4304,4661,5140,4682,5018,8539,13727,17159,20208,23436,9077,15857,23770,30220,35198,33350,17077,25877,34160,42196,11907,17464,25012,33271,42976,2695,2716,2787,2746,2736,2989,3372,3364,3854,4991,2896
1:50:04,4431,4800,5332,4798,5169,8624,14303,18148,21499,24907,9126,15988,24157,31219,36730,33536,17124,25954,34374,42466,11990,17509,25143,33370,43105,2702,2710,2777,2741,2750,2976,3375,3353,3863,5024,2889
