Time,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11
0:00:03,3358,3354,3487,3567,3666,4508,4871,5021,4964,5315,5556,5411,6556,6324,6556,7269,8273,8445,9326,9485,10219,11451,12491,13061,14427,3365,3398,3508,3474,3387,3574,3864,4127,4779,5293
0:10:03,3185,3176,3337,3416,3401,4692,5062,5364,5581,5955,6309,7208,8265,8534,8934,9445,11197,12336,13863,14825,11943,15764,18674,21790,25903,3007,3103,3085,3049,3030,3306,3408,3835,4349,4974
0:20:03,3408,3363,3519,3627,3851,5700,6344,6955,7469,8213,8025,10016,12038,12982,13864,10871,14717,17869,21071,23433,12468,17491,21871,27638,34902,3026,3325,3267,3125,2972,3261,3364,3757,4059,5131
0:30:03,3713,3688,3911,4158,4107,6605,8115,9066,9659,11124,9233,12688,15556,17419,19415,11323,15927,21342,26425,30303,12787,17919,22702,29598,37394,3005,3337,3252,3137,3085,3346,3446,3753,4153,5200
0:40:03,3862,3886,4161,4420,4366,7369,9495,10992,11989,13840,9735,13983,18207,21242,24315,11536,16334,22403,28879,34326,13196,18512,23366,30227,38429,3033,3269,3211,3065,3197,3334,3525,3751,4158,5240
0:50:03,4066,4062,4377,4658,4669,7873,10729,12742,14057,16430,9922,14732,19998,24242,28457,11735,16558,22909,29961,36078,13312,18661,23550,30734,38902,3024,3276,3224,3028,3167,3329,3594,3679,4170,5286
1:00:03,4215,4258,4827,4890,4975,8164,11801,14343,16048,18806,10026,15058,21104,26529,31819,11762,16722,23221,30549,37007,13430,18822,23694,31065,39305,3006,3248,3216,3044,3164,3318,3618,3638,4184,5337
1:10:03,4395,4481,5071,5139,5293,8407,12741,15773,17878,21090,10129,15365,21762,28077,34158,11867,16770,23414,30904,37555,13519,18976,23806,31345,39634,3018,3223,3200,3033,3158,3289,3703,3637,4211,5334
1:20:03,4563,4669,5289,5376,5550,8604,13401,17024,19553,23195,10166,15426,22232,29011,35876,11898,16958,23569,31235,37842,13551,19176,23925,31499,39853,3015,3182,3198,3043,3176,3412,3726,3648,4214,5381
1:30:03,4724,4837,5502,5603,5792,8675,13954,18113,21081,25039,10227,15555,22402,29666,37093,11916,17027,23712,31468,38136,13637,19322,24061,31837,40026,3022,3169,3206,3020,3170,3353,3774,3632,4210,5370
1:40:03,4859,5012,5688,5849,6012,8743,14317,19132,22432,26684,10224,15640,22632,30086,37892,11985,17098,23950,31659,38367,13763,19382,24146,31777,40182,3039,3165,3186,3027,3151,3385,3761,3609,4202,5405
1:50:03,4973,5168,5891,6050,6233,8745,14586,19919,23615,28176,10292,15690,22778,30409,38385,12081,17196,23934,31865,38435,13847,19625,24198,31961,40276,3045,3142,3177,3015,3157,3356,3764,3639,4214,5409
2:00:03,5123,5327,6062,6267,6452,8789,14808,20505,24710,29528,10355,15711,22967,30603,38749,12193,17216,24015,31845,38644,14051,19639,24206,32116,40368,3015,3152,3203,3086,3165,3355,3730,3674,4205,5392
2:10:03,5261,5473,6283,6474,6652,8815,14908,21064,25677,30745,10398,15826,23049,30844,39039,12278,17300,24130,31904,38646,14221,19810,24360,32431,40446,3025,3153,3212,3066,3163,3354,3717,3637,4230,5427
2:20:03,5400,5607,6413,6609,6840,8835,15029,21475,26461,31896,10496,15850,23189,30956,39347,12349,17186,24201,31970,38893,14259,19912,24322,32393,40548,3000,3129,3190,3068,3170,3328,3692,3654,4207,5438
2:30:03,5500,5773,6584,6822,7040,8816,15123,21730,27165,32989,10571,15920,23337,31070,39496,12348,17231,24308,32207,38944,14464,19931,24585,32597,40568,3004,3134,3184,3050,3155,3324,3653,3634,4219,5417
2:40:03,5638,5924,6708,6975,7221,8830,15191,22074,27767,33869,10622,15950,23386,31172,39650,12402,17346,24338,32301,39024,14589,20075,24503,32457,40763,2986,3116,3187,3051,3160,3333,3624,3635,4227,5420
2:50:03,5756,6031,6938,7180,7444,8887,15189,22315,28297,34734,10653,15976,23384,31307,39811,12407,17434,24385,32292,39094,14642,20050,24636,32556,40782,3006,3128,3170,3028,3128,3299,3586,3658,4224,5433
3:00:03,5848,6164,6933,7322,7629,8885,15287,22522,28804,35426,10740,16038,23403,31415,39938,12430,17428,24336,32130,39186,14674,20010,24664,32462,40817,3007,3103,3179,3056,3145,3322,3577,3649,4254,5442
3:10:03,5906,6281,7096,7527,7807,8935,15305,22644,29151,35968,10719,16051,23306,31490,40083,12516,17393,24366,32373,39280,14783,20087,24737,32543,41052,2994,3110,3146,3040,3139,3299,3528,3650,4254,5425
3:20:03,6024,6415,7271,7679,7953,8968,15335,22845,29578,36437,10738,16052,23345,31530,40228,12463,17480,24444,32695,39336,14717,20151,24788,32509,41092,3001,3114,3176,3038,3110,3300,3513,3662,4265,5440
3:30:03,6114,6508,7383,7838,8189,9013,15437,23029,29876,36963,10783,16084,23549,31565,40304,12463,17507,24467,32884,39383,14763,20160,24838,32580,41107,3003,3102,3157,3033,3153,3286,3474,3654,4281,5448
3:40:03,6210,6626,7532,8026,8402,9006,15461,23071,30183,37369,10797,16119,23733,31595,40396,12564,17524,24526,32612,39455,14771,20360,24961,32952,41248,3009,3103,3150,3025,3142,3290,3454,3635,4282,5457
3:50:03,6291,6737,7658,8167,8607,9028,15500,23228,30418,37820,10800,16186,23891,31720,40521,12586,17516,24676,32446,39520,14968,20308,24913,32794,41283,2989,3095,3135,3032,3123,3296,3384,3652,4264,5468
4:00:03,6411,6836,7750,8309,8779,9097,15567,23282,30627,38256,10854,16197,23923,31712,40569,12548,17481,24687,32452,39607,14913,20237,24967,33137,41330,2975,3104,3118,3024,3116,3300,3365,3653,4275,5454
4:10:03,6464,6982,7928,8470,8940,9140,15560,23388,30659,38775,10830,16244,23911,31867,40667,12601,17656,24690,32522,39629,14892,20278,25262,33135,41367,3013,3094,3131,3040,3110,3273,3362,3627,4247,5465
4:20:03,6567,7062,8142,8650,9180,9139,15632,23445,30850,39068,10864,16137,23876,31842,40705,12644,17616,24813,32716,39672,14971,20381,25189,32924,41505,3023,3099,3101,3024,3110,3285,3348,3643,4271,5445
4:30:03,6621,7160,8190,8843,9366,9174,15675,23461,30999,39353,10896,16239,23805,31904,40743,12608,17629,24900,32871,39745,14956,20366,25175,32541,41512,3001,3103,3122,3018,3105,3296,3343,3652,4265,5478
4:40:03,6695,7259,8286,8994,9534,9189,15703,23566,31050,39600,10911,16215,23678,31967,40722,12666,17674,24844,33261,39728,14876,20399,25300,33260,41440,2992,3103,3118,3019,3102,3276,3334,3628,4276,5463
4:50:03,6760,7368,8432,9165,9740,9176,15662,23629,31068,39665,10901,16334,23544,31907,40747,12633,17782,24775,33414,39817,14850,20428,25337,32861,41573,3003,3085,3093,3030,3090,3281,3313,3608,4269,5471
5:00:03,6848,7436,8556,9332,9921,9196,15665,23614,31187,39697,10907,16374,23511,32001,40741,12710,17724,24912,33123,39787,14876,20446,25313,32910,41540,3006,3076,3076,3013,3090,3290,3311,3635,4251,5464
5:10:03,6900,7534,8764,9435,10118,9188,15690,23668,31327,39676,10931,16282,23431,31945,40797,12687,17885,24633,32811,39858,15051,20418,25305,33387,41537,2994,3083,3081,3019,3086,3278,3294,3618,4260,5457
5:20:03,6940,7610,8859,9617,10329,9212,15731,23664,31400,39738,10989,16363,23566,32061,40854,12632,17589,24835,32414,39784,14936,20411,25118,32976,41621,2984,3085,3078,3162,3091,3259,3302,3632,4258,5462
5:30:03,6983,7688,8937,9789,10485,9235,15782,23732,31435,39656,10933,16365,23874,32118,40857,12721,17740,24706,32078,39923,14990,20415,25178,33278,41637,2991,3076,3084,3111,3068,3258,3295,3618,4245,5489
5:40:03,7076,7829,9066,9955,10666,9253,15801,23791,31499,39673,10956,16320,23903,32087,40920,12741,17708,24982,32021,39935,15017,20579,25191,33136,41680,2994,3080,3067,3127,3060,3270,3297,3610,4264,5466
5:50:03,7111,7908,9204,10147,10862,9207,15827,23839,31563,39542,10961,16475,23963,32125,40938,12630,17844,25140,32106,39945,15036,20558,25358,33118,41732,2987,3073,3074,3121,3066,3260,3272,3623,4269,5475
