Time	2 PrLDf...103
0	4116
0.16667	3919
0.33333	3771
0.5	3833
0.66667	3826
0.83333	3825
1	3823
1.16667	3825
1.33333	3844
1.5	3865
1.66667	3854
1.83333	3863
2	3858
2.16667	3883
2.33333	3858
2.5	3870
2.66667	3867
2.83333	3871
3	3893
3.16667	3884
3.33333	3908
3.5	3889
3.66667	3888
3.83333	3892
4	3897
4.16667	3880
4.33333	3895
4.5	3897
4.66667	3885
4.83333	3922
5	3889
5.16667	3896
5.33333	4006
5.5	3986
5.66667	3986
5.83333	3965
6	3992
6.16667	3976
6.33333	3982
6.5	3990
6.66667	3996
6.83333	3988
7	3989
7.16667	3984
7.33333	3987
7.5	4002
7.66667	3990
7.83333	3991
8	3991
8.16667	3992
8.33333	3990
8.5	4005
8.66667	3987
8.83333	3991
9	3984
9.16667	4005
9.33333	4004
9.5	3986
9.66667	3978
9.83333	3966
10	3992
10.16667	3981
10.33333	3971
10.5	3958
10.66667	3936
10.83333	3962
11	3943
11.16667	3982
11.33333	3963
11.5	3961
11.66667	3949
11.83333	3927
12	3959
12.16667	3962
12.33333	3975
12.5	3950
12.66667	3955
12.83333	3938
13	3905
13.16667	3903
13.33333	3902
13.5	3888
13.66667	3908
13.83333	3882
14	3893
14.16667	3884
14.33333	3885
14.5	3893
14.66667	3891
14.83333	3905
15	3905
15.16667	3892
15.33333	3892
15.5	3882
15.66667	3893
15.83333	3875
16	3889
16.16667	3890
16.33333	3883
16.5	3886
16.66667	3875
16.83333	3882
17	3887
17.16667	3876
17.33333	3892
17.5	3896
17.66667	3887
17.83333	3899
18	3893
18.16667	3890
18.33333	3893
18.5	3898
18.66667	3908
18.83333	3910
19	3880
19.16667	3902
19.33333	3888
19.5	3877
19.66667	3876
19.83333	3879
20	3893
20.16667	3886
20.33333	3876
20.5	3847
20.66667	3846
20.83333	3848
21	3849
21.16667	3856
21.33333	3850
21.5	3838
21.66667	3813
21.83333	3839
22	3847
22.16667	3837
22.33333	3862
22.5	3846
22.66667	3836
22.83333	3843
23	3835
23.16667	3836
23.33333	3854
23.5	3854
23.66667	3864
23.83333	3859
24	3842
