Time	0.1 PrLDf: 5 PrLDm...3
0	3358
0.16667	3185
0.33333	3408
0.5	3713
0.66667	3862
0.83333	4066
1	4215
1.16667	4395
1.33333	4563
1.5	4724
1.66667	4859
1.83333	4973
2	5123
2.16667	5261
2.33333	5400
2.5	5500
2.66667	5638
2.83333	5756
3	5848
3.16667	5906
3.33333	6024
3.5	6114
3.66667	6210
3.83333	6291
4	6411
4.16667	6464
4.33333	6567
4.5	6621
4.66667	6695
4.83333	6760
5	6848
5.16667	6900
5.33333	6940
5.5	6983
5.66667	7076
5.83333	7111
6	7146
6.16667	7197
6.33333	7250
6.5	7275
6.66667	7323
6.83333	7371
7	7445
7.16667	7479
7.33333	7519
7.5	7575
7.66667	7634
7.83333	7675
8	7729
8.16667	7779
8.33333	7797
8.5	7838
8.66667	7878
8.83333	7911
9	7966
9.16667	7976
9.33333	7999
9.5	8041
9.66667	8104
9.83333	8114
10	8159
10.16667	8202
10.33333	8206
10.5	8254
10.66667	8316
10.83333	8414
11	8472
11.16667	8596
11.33333	8670
11.5	8762
11.66667	8852
11.83333	8898
12	8884
12.16667	8896
12.33333	8990
12.5	8993
12.66667	8999
12.83333	8982
13	9033
13.16667	9080
13.33333	9042
13.5	9096
13.66667	9093
13.83333	9101
14	9136
14.16667	9154
14.33333	9170
14.5	9154
14.66667	9154
14.83333	9183
15	9170
15.16667	9238
15.33333	9201
15.5	9251
15.66667	9218
15.83333	9235
16	9255
16.16667	9230
16.33333	9281
16.5	9251
16.66667	9306
16.83333	9283
17	9341
17.16667	9308
17.33333	9339
17.5	9327
17.66667	9345
17.83333	9334
18	9292
18.16667	9326
18.33333	9330
18.5	9371
18.66667	9356
18.83333	9363
19	9343
19.16667	9360
19.33333	9360
19.5	9357
19.66667	9362
19.83333	9388
20	9408
20.16667	9364
20.33333	9384
20.5	9407
20.66667	9386
20.83333	9435
21	9396
21.16667	9427
21.33333	9433
21.5	9418
21.66667	9423
21.83333	9443
22	9449
22.16667	9437
22.33333	9440
22.5	9441
22.66667	9432
22.83333	9448
23	9418
23.16667	9485
23.33333	9435
23.5	9455
23.66667	9470
23.83333	9416
24	9486
