Time	1 PrLDf: 5 PrLDm...32
0	3648
0.16667	3554
0.33333	3843
0.5	4256
0.66667	4589
0.83333	4882
1	5137
1.16667	5387
1.33333	5652
1.5	5880
1.66667	6100
1.83333	6333
2	6533
2.16667	6717
2.33333	6858
2.5	7021
2.66667	7154
2.83333	7268
3	7378
3.16667	7480
3.33333	7582
3.5	7721
3.66667	7778
3.83333	7884
4	7976
4.16667	8024
4.33333	8094
4.5	8127
4.66667	8169
4.83333	8225
5	8286
5.16667	8345
5.33333	8389
5.5	8415
5.66667	8453
5.83333	8499
6	8558
6.16667	8526
6.33333	8581
6.5	8584
6.66667	8617
6.83333	8643
7	8660
7.16667	8663
7.33333	8709
7.5	8694
7.66667	8743
7.83333	8711
8	8733
8.16667	8789
8.33333	8817
8.5	8793
8.66667	8809
8.83333	8870
9	8845
9.16667	8866
9.33333	8854
9.5	8866
9.66667	8869
9.83333	8869
10	8887
10.16667	8908
10.33333	8899
10.5	8938
10.66667	8942
10.83333	8920
11	8927
11.16667	8962
11.33333	8973
11.5	8968
11.66667	8962
11.83333	8922
12	8961
12.16667	9006
12.33333	8984
12.5	8993
12.66667	9009
12.83333	9034
13	9017
13.16667	9036
13.33333	9057
13.5	9012
13.66667	9038
13.83333	9034
14	9051
14.16667	9017
14.33333	9034
14.5	9042
14.66667	9042
14.83333	9079
15	9048
15.16667	9034
15.33333	9040
15.5	9039
15.66667	9046
15.83333	9079
16	9057
16.16667	9058
16.33333	9063
16.5	9043
16.66667	9084
16.83333	9079
17	9049
17.16667	9074
17.33333	9053
17.5	9062
17.66667	9074
17.83333	9075
18	9078
18.16667	9082
18.33333	9049
18.5	9062
18.66667	9071
18.83333	9079
19	9104
19.16667	9058
19.33333	9062
19.5	9088
19.66667	9093
19.83333	9058
20	9070
20.16667	9045
20.33333	9063
20.5	9053
20.66667	9089
20.83333	9063
21	9086
21.16667	9109
21.33333	9078
21.5	9076
21.66667	9066
21.83333	9044
22	9093
22.16667	9074
22.33333	9064
22.5	9070
22.66667	9068
22.83333	9086
23	9067
23.16667	9093
23.33333	9080
23.5	9083
23.66667	9119
23.83333	9066
24	9072
