Time	15 PrLDm...83
0	2839
0.16667	2654
0.33333	2619
0.5	2705
0.66667	2700
0.83333	2697
1	2694
1.16667	2683
1.33333	2687
1.5	2688
1.66667	2659
1.83333	2695
2	2685
2.16667	2693
2.33333	2690
2.5	2691
2.66667	2680
2.83333	2692
3	2686
3.16667	2671
3.33333	2699
3.5	2691
3.66667	2678
3.83333	2693
4	2706
4.16667	2692
4.33333	2698
4.5	2676
4.66667	2698
4.83333	2698
5	2687
5.16667	2699
5.33333	2685
5.5	2700
5.66667	2679
5.83333	2706
6	2679
6.16667	2688
6.33333	2680
6.5	2686
6.66667	2691
6.83333	2685
7	2685
7.16667	2678
7.33333	2675
7.5	2666
7.66667	2674
7.83333	2674
8	2677
8.16667	2673
8.33333	2709
8.5	2708
8.66667	2714
8.83333	2715
9	2713
9.16667	2695
9.33333	2720
9.5	2698
9.66667	2692
9.83333	2721
10	2695
10.16667	2693
10.33333	2698
10.5	2700
10.66667	2701
10.83333	2689
11	2677
11.16667	2685
11.33333	2698
11.5	2697
11.66667	2674
11.83333	2706
12	2697
12.16667	2680
12.33333	2696
12.5	2704
12.66667	2698
12.83333	2698
13	2698
13.16667	2706
13.33333	2716
13.5	2705
13.66667	2708
13.83333	2729
14	2719
14.16667	2722
14.33333	2731
14.5	2718
14.66667	2729
14.83333	2744
15	2729
15.16667	2728
15.33333	2722
15.5	2744
15.66667	2741
15.83333	2724
16	2753
16.16667	2748
16.33333	2764
16.5	2770
16.66667	2764
16.83333	2753
17	2759
17.16667	2782
17.33333	2756
17.5	2790
17.66667	2790
17.83333	2798
18	2804
18.16667	2799
18.33333	2797
18.5	2823
18.66667	2826
18.83333	2820
19	2837
19.16667	2839
19.33333	2854
19.5	2860
19.66667	2874
19.83333	2871
20	2886
20.16667	2892
20.33333	2911
20.5	2913
20.66667	2917
20.83333	2939
21	2932
21.16667	2941
21.33333	2949
21.5	2977
21.66667	2994
21.83333	2980
22	3009
22.16667	3026
22.33333	3038
22.5	3061
22.66667	3073
22.83333	3101
23	3111
23.16667	3121
23.33333	3149
23.5	3175
23.66667	3199
23.83333	3225
24	3222
