Time	0.5 PrLDf...96
0	3864
0.16667	3408
0.33333	3364
0.5	3446
0.66667	3525
0.83333	3594
1	3618
1.16667	3703
1.33333	3726
1.5	3774
1.66667	3761
1.83333	3764
2	3730
2.16667	3717
2.33333	3692
2.5	3653
2.66667	3624
2.83333	3586
3	3577
3.16667	3528
3.33333	3513
3.5	3474
3.66667	3454
3.83333	3384
4	3365
4.16667	3362
4.33333	3348
4.5	3343
4.66667	3334
4.83333	3313
5	3311
5.16667	3294
5.33333	3302
5.5	3295
5.66667	3297
5.83333	3272
6	3270
6.16667	3214
6.33333	3220
6.5	3228
6.66667	3227
6.83333	3215
7	3221
7.16667	3234
7.33333	3221
7.5	3233
7.66667	3217
7.83333	3229
8	3215
8.16667	3209
8.33333	3230
8.5	3216
8.66667	3206
8.83333	3185
9	3189
9.16667	3187
9.33333	3184
9.5	3189
9.66667	3199
9.83333	3167
10	3184
10.16667	3158
10.33333	3156
10.5	3168
10.66667	3180
10.83333	3165
11	3157
11.16667	3176
11.33333	3189
11.5	3170
11.66667	3191
11.83333	3180
12	3164
12.16667	3191
12.33333	3164
12.5	3158
12.66667	3160
12.83333	3163
13	3147
13.16667	3163
13.33333	3176
13.5	3151
13.66667	3166
13.83333	3142
14	3162
14.16667	3166
14.33333	3156
14.5	3159
14.66667	3177
14.83333	3186
15	3172
15.16667	3196
15.33333	3180
15.5	3165
15.66667	3186
15.83333	3208
16	3231
16.16667	3233
16.33333	3246
16.5	3263
16.66667	3275
16.83333	3295
17	3302
17.16667	3326
17.33333	3346
17.5	3363
17.66667	3407
17.83333	3432
18	3447
18.16667	3463
18.33333	3476
18.5	3493
18.66667	3510
18.83333	3508
19	3529
19.16667	3529
19.33333	3523
19.5	3540
19.66667	3533
19.83333	3548
20	3554
20.16667	3553
20.33333	3549
20.5	3572
20.66667	3563
20.83333	3577
21	3575
21.16667	3574
21.33333	3569
21.5	3581
21.66667	3569
21.83333	3571
22	3571
22.16667	3575
22.33333	3586
22.5	3569
22.66667	3579
22.83333	3559
23	3568
23.16667	3572
23.33333	3560
23.5	3575
23.66667	3552
23.83333	3552
24	3552
